codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao,populacao,ano,leitos_existentes,leitos_sus,leitos_sus_10k_hab,tem_rede_hospitalar
350010,3500105,Adamantina,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente,35673,2025,194,133,37.28,True
350020,3500204,Adolfo,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,4505,2025,0,0,0.0,False
350030,3500303,Aguaí,São João da Boa Vista,Campinas,Campinas,32886,2025,24,24,7.3,True
350040,3500402,Águas da Prata,São João da Boa Vista,Campinas,Campinas,7463,2025,0,0,0.0,False
350050,3500501,Águas de Lindóia,Amparo,Campinas,Campinas,18257,2025,42,30,16.43,True
350055,3500550,Águas de Santa Bárbara,Avaré,Sorocaba,Bauru,7460,2025,0,0,0.0,False
350060,3500600,Águas de São Pedro,Piracicaba,Campinas,Piracicaba,2928,2025,0,0,0.0,False
350070,3500709,Agudos,Bauru,Bauru,Bauru,38988,2025,36,28,7.18,True
350075,3500758,Alambari,Itapetininga,Sorocaba,Itapetininga,6373,2025,0,0,0.0,False
350080,3500808,Alfredo Marcondes,Presidente Prudente,Presidente Prudente,Presidente Prudente,4574,2025,0,0,0.0,False
350090,3500907,Altair,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,3467,2025,0,0,0.0,False
350100,3501004,Altinópolis,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,17197,2025,21,19,11.05,True
350110,3501103,Alto Alegre,Birigui - Penápolis,Araçatuba,Araçatuba,3874,2025,16,16,41.3,True
350115,3501152,Alumínio,Sorocaba,Sorocaba,Macro Metropolitana Paulista,17607,2025,120,0,0.0,True
350120,3501202,Álvares Florence,Votuporanga,São José do Rio Preto,São José do Rio Preto,3979,2025,0,0,0.0,False
350130,3501301,Álvares Machado,Presidente Prudente,Presidente Prudente,Presidente Prudente,28386,2025,28,17,5.99,True
350140,3501400,Álvaro de Carvalho,Marília,Marília,Marília,4901,2025,0,0,0.0,False
350150,3501509,Alvinlândia,Marília,Marília,Marília,2919,2025,0,0,0.0,False
350160,3501608,Americana,Campinas,Campinas,Campinas,247571,2025,416,149,6.02,True
350170,3501707,Américo Brasiliense,Araraquara,Araraquara,Araraquara,33708,2025,148,148,43.91,True
350180,3501806,Américo de Campos,Votuporanga,São José do Rio Preto,São José do Rio Preto,5981,2025,0,0,0.0,False
350190,3501905,Amparo,Amparo,Campinas,Campinas,69792,2025,382,217,31.09,True
350200,3502002,Analândia,Rio Claro,Campinas,Araraquara,4694,2025,0,0,0.0,False
350210,3502101,Andradina,Andradina,Araçatuba,Araçatuba,61625,2025,99,59,9.57,True
350220,3502200,Angatuba,Itapetininga,Sorocaba,Itapetininga,24573,2025,57,54,21.98,True
350230,3502309,Anhembi,Botucatu,Bauru,Bauru,5766,2025,0,0,0.0,False
350240,3502408,Anhumas,Presidente Prudente,Presidente Prudente,Presidente Prudente,4118,2025,0,0,0.0,False
350250,3502507,Aparecida,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista,33141,2025,92,49,14.79,True
350260,3502606,Aparecida d'Oeste,Jales,São José do Rio Preto,São José do Rio Preto,4112,2025,13,12,29.18,True
350270,3502705,Apiaí,Itapeva,Sorocaba,Itapetininga,24857,2025,51,45,18.1,True
350275,3502754,Araçariguama,Sorocaba,Sorocaba,Macro Metropolitana Paulista,22314,2025,0,0,0.0,False
350280,3502804,Araçatuba,Araçatuba,Araçatuba,Araçatuba,208415,2025,413,264,12.67,True
350290,3502903,Araçoiaba da Serra,Sorocaba,Sorocaba,Macro Metropolitana Paulista,33832,2025,103,0,0.0,True
350300,3503000,Aramina,Ituverava,Ribeirão Preto,Ribeirão Preto,5535,2025,0,0,0.0,False
350310,3503109,Arandu,Avaré,Sorocaba,Bauru,7076,2025,6,6,8.48,True
350315,3503158,Arapeí,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista,2355,2025,0,0,0.0,False
350320,3503208,Araraquara,Araraquara,Araraquara,Araraquara,253474,2025,463,258,10.18,True
350330,3503307,Araras,Araras,Campinas,Piracicaba,135744,2025,392,180,13.26,True
350335,3503356,Arco-Íris,Tupã,Marília,Marília,2089,2025,0,0,0.0,False
350340,3503406,Arealva,Bauru,Bauru,Bauru,8290,2025,26,15,18.09,True
350350,3503505,Areias,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista,3617,2025,0,0,0.0,False
350360,3503604,Areiópolis,Botucatu,Bauru,Bauru,10242,2025,0,0,0.0,False
350370,3503703,Ariranha,Catanduva,São José do Rio Preto,São José do Rio Preto,7621,2025,0,0,0.0,False
350380,3503802,Artur Nogueira,Campinas,Campinas,Campinas,53467,2025,8,8,1.5,True
350390,3503901,Arujá,São Paulo,São Paulo,Metropolitana de São Paulo,90273,2025,69,29,3.21,True
350395,3503950,Aspásia,Jales,São José do Rio Preto,São José do Rio Preto,1875,2025,0,0,0.0,False
350400,3504008,Assis,Assis,Marília,Assis,104858,2025,288,161,15.35,True
350410,3504107,Atibaia,Bragança Paulista,Campinas,Macro Metropolitana Paulista,167161,2025,310,66,3.95,True
350420,3504206,Auriflama,Araçatuba,Araçatuba,São José do Rio Preto,13856,2025,44,35,25.26,True
350430,3504305,Avaí,Bauru,Bauru,Bauru,4503,2025,0,0,0.0,False
350440,3504404,Avanhandava,Birigui - Penápolis,Araçatuba,Araçatuba,11436,2025,0,0,0.0,False
350450,3504503,Avaré,Avaré,Sorocaba,Bauru,96450,2025,184,142,14.72,True
350460,3504602,Bady Bassitt,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,29346,2025,0,0,0.0,False
350470,3504701,Balbinos,Bauru,Bauru,Bauru,3969,2025,0,0,0.0,False
350480,3504800,Bálsamo,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,9902,2025,0,0,0.0,False
350490,3504909,Bananal,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista,10097,2025,15,15,14.86,True
350500,3505005,Barão de Antonina,Itapeva,Sorocaba,Itapetininga,3632,2025,0,0,0.0,False
350510,3505104,Barbosa,Birigui - Penápolis,Araçatuba,Araçatuba,5627,2025,0,0,0.0,False
350520,3505203,Bariri,Jaú,Bauru,Bauru,32406,2025,48,42,12.96,True
350530,3505302,Barra Bonita,Jaú,Bauru,Bauru,35129,2025,58,47,13.38,True
350535,3505351,Barra do Chapéu,Itapeva,Sorocaba,Itapetininga,5254,2025,0,0,0.0,False
350540,3505401,Barra do Turvo,Registro,Sorocaba,Litoral Sul Paulista,6894,2025,0,0,0.0,False
350550,3505500,Barretos,Barretos,Ribeirão Preto,Ribeirão Preto,126957,2025,486,442,34.81,True
350560,3505609,Barrinha,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,33304,2025,7,7,2.1,True
350570,3505708,Barueri,São Paulo,São Paulo,Metropolitana de São Paulo,333737,2025,735,609,18.25,True
350580,3505807,Bastos,Tupã,Marília,Marília,21936,2025,30,22,10.03,True
350590,3505906,Batatais,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,59939,2025,147,97,16.18,True
350600,3506003,Bauru,Bauru,Bauru,Bauru,392947,2025,1255,726,18.48,True
350610,3506102,Bebedouro,Barretos,Ribeirão Preto,Ribeirão Preto,78257,2025,179,139,17.76,True
350620,3506201,Bento de Abreu,Araçatuba,Araçatuba,Araçatuba,2640,2025,0,0,0.0,False
350630,3506300,Bernardino de Campos,Ourinhos,Marília,Assis,11881,2025,27,27,22.73,True
350635,3506359,Bertioga,Santos,São Paulo,Metropolitana de São Paulo,67436,2025,74,74,10.97,True
350640,3506409,Bilac,Birigui - Penápolis,Araçatuba,Araçatuba,7464,2025,36,35,46.89,True
350650,3506508,Birigui,Birigui - Penápolis,Araçatuba,Araçatuba,123340,2025,148,77,6.24,True
350660,3506607,Biritiba Mirim,São Paulo,São Paulo,Metropolitana de São Paulo,30564,2025,13,13,4.25,True
350670,3506706,Boa Esperança do Sul,Araraquara,Araraquara,Araraquara,13113,2025,15,14,10.68,True
350680,3506805,Bocaina,Jaú,Bauru,Bauru,11480,2025,18,18,15.68,True
350690,3506904,Bofete,Botucatu,Bauru,Bauru,10710,2025,0,0,0.0,False
350700,3507001,Boituva,Sorocaba,Sorocaba,Itapetininga,63850,2025,64,44,6.89,True
350710,3507100,Bom Jesus dos Perdões,Bragança Paulista,Campinas,Macro Metropolitana Paulista,22579,2025,11,11,4.87,True
350715,3507159,Bom Sucesso de Itararé,Itapeva,Sorocaba,Itapetininga,3609,2025,0,0,0.0,False
350720,3507209,Borá,Assis,Marília,Assis,932,2025,0,0,0.0,False
350730,3507308,Boracéia,Jaú,Bauru,Bauru,4838,2025,0,0,0.0,False
350740,3507407,Borborema,Araraquara,Araraquara,Araraquara,14405,2025,26,16,11.11,True
350745,3507456,Borebi,Bauru,Bauru,Bauru,2801,2025,0,0,0.0,False
350750,3507506,Botucatu,Botucatu,Bauru,Bauru,151053,2025,839,537,35.55,True
350760,3507605,Bragança Paulista,Bragança Paulista,Campinas,Macro Metropolitana Paulista,185688,2025,342,206,11.09,True
350770,3507704,Braúna,Birigui - Penápolis,Araçatuba,Araçatuba,5477,2025,0,0,0.0,False
350775,3507753,Brejo Alegre,Birigui - Penápolis,Araçatuba,Araçatuba,2605,2025,0,0,0.0,False
350780,3507803,Brodowski,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,26314,2025,0,0,0.0,False
350790,3507902,Brotas,Jaú,Bauru,Piracicaba,24501,2025,53,35,14.29,True
350800,3508009,Buri,Itapeva,Sorocaba,Itapetininga,20731,2025,0,0,0.0,False
350810,3508108,Buritama,Birigui - Penápolis,Araçatuba,Araçatuba,17658,2025,38,24,13.59,True
350820,3508207,Buritizal,Ituverava,Ribeirão Preto,Ribeirão Preto,4458,2025,0,0,0.0,False
350830,3508306,Cabrália Paulista,Bauru,Bauru,Bauru,4360,2025,0,0,0.0,False
350840,3508405,Cabreúva,Jundiaí,Campinas,Macro Metropolitana Paulista,48654,2025,22,19,3.91,True
350850,3508504,Caçapava,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista,100071,2025,472,413,41.27,True
350860,3508603,Cachoeira Paulista,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista,32534,2025,62,62,19.06,True
350870,3508702,Caconde,São José do Rio Pardo - Mococa,Campinas,Campinas,17228,2025,66,66,38.31,True
350880,3508801,Cafelândia,Lins,Bauru,Bauru,16907,2025,45,34,20.11,True
350890,3508900,Caiabu,Presidente Prudente,Presidente Prudente,Presidente Prudente,3726,2025,0,0,0.0,False
350900,3509007,Caieiras,São Paulo,São Paulo,Metropolitana de São Paulo,98549,2025,135,81,8.22,True
350910,3509106,Caiuá,Presidente Epitácio-Presidente Venceslau,Presidente Prudente,Presidente Prudente,5599,2025,0,0,0.0,False
350920,3509205,Cajamar,São Paulo,São Paulo,Metropolitana de São Paulo,98365,2025,139,39,3.96,True
350925,3509254,Cajati,Registro,Sorocaba,Litoral Sul Paulista,29262,2025,0,0,0.0,False
350930,3509304,Cajobi,Barretos,Ribeirão Preto,São José do Rio Preto,9210,2025,32,26,28.23,True
350940,3509403,Cajuru,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,24233,2025,73,55,22.7,True
350945,3509452,Campina do Monte Alegre,Itapetininga,Sorocaba,Itapetininga,6090,2025,0,0,0.0,False
350950,3509502,Campinas,Campinas,Campinas,Campinas,1187974,2025,2833,1406,11.84,True
350960,3509601,Campo Limpo Paulista,Jundiaí,Campinas,Macro Metropolitana Paulista,79781,2025,54,54,6.77,True
350970,3509700,Campos do Jordão,Taubaté - Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista,47956,2025,211,185,38.58,True
350980,3509809,Campos Novos Paulista,Marília,Marília,Assis,5003,2025,0,0,0.0,False
350990,3509908,Cananéia,Registro,Sorocaba,Litoral Sul Paulista,12491,2025,0,0,0.0,False
350995,3509957,Canas,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista,5068,2025,0,0,0.0,False
351000,3510005,Cândido Mota,Assis,Marília,Assis,30157,2025,30,25,8.29,True
351010,3510104,Cândido Rodrigues,Araraquara,Araraquara,Ribeirão Preto,2959,2025,0,0,0.0,False
351015,3510153,Canitar,Ourinhos,Marília,Assis,6589,2025,0,0,0.0,False
351020,3510203,Capão Bonito,Itapeva,Sorocaba,Itapetininga,47409,2025,46,37,7.8,True
351030,3510302,Capela do Alto,Sorocaba,Sorocaba,Macro Metropolitana Paulista,23777,2025,17,0,0.0,True
351040,3510401,Capivari,Piracicaba,Campinas,Piracicaba,51369,2025,104,65,12.65,True
351050,3510500,Caraguatatuba,Caraguatatuba - Ubatuba - São Sebastião,São José dos Campos,Vale do Paraíba Paulista,142248,2025,319,262,18.42,True
351060,3510609,Carapicuíba,São Paulo,São Paulo,Metropolitana de São Paulo,398236,2025,230,203,5.1,True
351070,3510708,Cardoso,Votuporanga,São José do Rio Preto,São José do Rio Preto,11476,2025,31,10,8.71,True
