codigo,periodo,internacoes,valor_total,media_permanencia,custo_medio_internacao
350010,2025-07,477,683486.15,8.6,1432.89
350010,2025-08,441,676199.37,9.0,1533.33
350010,2025-09,470,744605.86,8.8,1584.27
350010,2025-10,485,716323.39,8.5,1476.96
350010,2025-11,420,661136.78,9.4,1574.14
350010,2025-12,425,658247.5,9.1,1548.82
350010,2026-01,454,652403.41,8.4,1437.01
350010,2026-02,417,644663.56,8.8,1545.96
350010,2026-03,426,673541.93,9.6,1581.08
350010,2026-04,435,675005.61,8.6,1551.74
350010,2026-05,455,659510.05,8.5,1449.47
350010,2026-06,455,658719.83,8.3,1447.74
350030,2025-07,36,20292.67,5.1,563.69
350030,2025-08,39,24312.76,7.3,623.4
350030,2025-09,43,27141.64,11.2,631.2
350030,2025-10,25,11839.2,5.5,473.57
350030,2025-11,25,12135.22,4.7,485.41
350030,2025-12,38,24009.77,7.1,631.84
350030,2026-01,29,14569.55,5.0,502.4
350030,2026-02,37,19625.45,5.3,530.42
350030,2026-03,35,22155.06,5.5,633.0
350030,2026-04,37,21363.45,6.7,577.39
350030,2026-05,32,18982.76,7.4,593.21
350030,2026-06,33,23861.68,5.3,723.08
350050,2025-07,113,54193.95,5.6,479.59
350050,2025-08,102,42202.36,3.4,413.75
350050,2025-09,89,40299.75,2.8,452.81
350050,2025-10,107,48217.87,4.3,450.63
350050,2025-11,101,58366.62,4.0,577.89
350050,2025-12,111,41101.25,3.9,370.28
350050,2026-01,106,42525.24,3.9,401.18
350050,2026-02,114,42568.46,3.4,373.41
350050,2026-03,96,43282.49,3.8,450.86
350050,2026-04,113,45631.69,3.3,403.82
350050,2026-05,100,42649.13,4.0,426.49
350050,2026-06,98,39305.81,3.4,401.08
350070,2025-07,100,48383.99,2.0,483.84
350070,2025-08,101,49912.66,1.6,494.18
350070,2025-09,107,58904.14,2.1,550.51
350070,2025-10,101,42097.31,1.8,416.81
350070,2025-11,83,44561.52,2.0,536.89
350070,2025-12,73,34717.98,2.0,475.59
350070,2026-01,75,40047.0,2.3,533.96
350070,2026-02,92,45607.53,1.9,495.73
350070,2026-03,92,46292.4,1.8,503.18
350070,2026-04,78,37729.22,1.8,483.71
350070,2026-05,108,49556.08,1.7,458.85
350070,2026-06,96,47013.76,2.0,489.73
350100,2025-07,183,61082.65,1.9,333.78
350100,2025-08,152,49621.58,1.7,326.46
350100,2025-09,166,51359.28,1.8,309.39
350100,2025-10,195,62415.09,1.8,320.08
350100,2025-11,144,46804.35,1.6,325.03
