codigo,uf,periodo,internacoes
11,Rondônia,2025-07,12610
11,Rondônia,2025-08,12371
11,Rondônia,2025-09,12259
11,Rondônia,2025-10,12766
11,Rondônia,2025-11,12159
11,Rondônia,2025-12,11455
11,Rondônia,2026-01,11443
11,Rondônia,2026-02,11312
11,Rondônia,2026-03,13252
11,Rondônia,2026-04,12322
11,Rondônia,2026-05,10613
11,Rondônia,2026-06,8456
12,Acre,2025-07,5104
12,Acre,2025-08,5091
12,Acre,2025-09,5047
12,Acre,2025-10,5560
12,Acre,2025-11,4604
12,Acre,2025-12,4527
12,Acre,2026-01,4774
12,Acre,2026-02,4479
12,Acre,2026-03,5087
12,Acre,2026-04,4951
12,Acre,2026-05,5328
13,Amazonas,2025-07,24613
13,Amazonas,2025-08,24408
13,Amazonas,2025-09,23100
13,Amazonas,2025-10,25112
13,Amazonas,2025-11,21821
13,Amazonas,2025-12,21542
13,Amazonas,2026-01,21748
13,Amazonas,2026-02,20400
13,Amazonas,2026-03,23276
13,Amazonas,2026-04,23388
13,Amazonas,2026-05,22716
13,Amazonas,2026-06,19563
14,Roraima,2025-07,3002
14,Roraima,2025-08,3193
14,Roraima,2025-09,2738
14,Roraima,2025-10,2346
14,Roraima,2025-11,2740
14,Roraima,2025-12,2128
14,Roraima,2026-01,2597
14,Roraima,2026-02,2961
14,Roraima,2026-03,3082
14,Roraima,2026-04,3013
14,Roraima,2026-05,352
15,Pará,2025-07,49639
15,Pará,2025-08,50659
15,Pará,2025-09,49447
15,Pará,2025-10,50058
15,Pará,2025-11,48679
15,Pará,2025-12,48817
15,Pará,2026-01,47344
15,Pará,2026-02,45674
15,Pará,2026-03,50991
15,Pará,2026-04,49732
15,Pará,2026-05,47073
15,Pará,2026-06,40277
16,Amapá,2025-07,5059
16,Amapá,2025-08,4957
16,Amapá,2025-09,4792
16,Amapá,2025-10,4903
16,Amapá,2025-11,4195
16,Amapá,2025-12,4900
16,Amapá,2026-01,4938
16,Amapá,2026-02,4640
16,Amapá,2026-03,5420
16,Amapá,2026-04,5563
16,Amapá,2026-05,5849
16,Amapá,2026-06,5777
17,Tocantins,2025-07,9478
17,Tocantins,2025-08,9466
17,Tocantins,2025-09,9104
17,Tocantins,2025-10,9302
17,Tocantins,2025-11,8338
17,Tocantins,2025-12,7768
17,Tocantins,2026-01,8884
17,Tocantins,2026-02,9024
17,Tocantins,2026-03,9574
17,Tocantins,2026-04,9167
17,Tocantins,2026-05,10204
17,Tocantins,2026-06,845
21,Maranhão,2025-07,43817
21,Maranhão,2025-08,42433
21,Maranhão,2025-09,43286
21,Maranhão,2025-10,42713
21,Maranhão,2025-11,41621
21,Maranhão,2025-12,39755
21,Maranhão,2026-01,40638
21,Maranhão,2026-02,38144
21,Maranhão,2026-03,42301
21,Maranhão,2026-04,39802
21,Maranhão,2026-05,38007
21,Maranhão,2026-06,32513
22,Piauí,2025-07,19376
22,Piauí,2025-08,18838
22,Piauí,2025-09,17236
22,Piauí,2025-10,19901
22,Piauí,2025-11,18019
22,Piauí,2025-12,18898
22,Piauí,2026-01,19531
22,Piauí,2026-02,17915
22,Piauí,2026-03,18124
22,Piauí,2026-04,17554
22,Piauí,2026-05,18752
22,Piauí,2026-06,16825
23,Ceará,2025-07,50415
23,Ceará,2025-08,49700
23,Ceará,2025-09,52713
23,Ceará,2025-10,51834
23,Ceará,2025-11,49378
23,Ceará,2025-12,48118
23,Ceará,2026-01,48637
23,Ceará,2026-02,46201
23,Ceará,2026-03,52606
23,Ceará,2026-04,49255
23,Ceará,2026-05,53275
23,Ceará,2026-06,52819
24,Rio Grande do Norte,2025-07,20144
24,Rio Grande do Norte,2025-08,19299
24,Rio Grande do Norte,2025-09,18852
24,Rio Grande do Norte,2025-10,18285
24,Rio Grande do Norte,2025-11,18060
24,Rio Grande do Norte,2025-12,17607
24,Rio Grande do Norte,2026-01,17739
24,Rio Grande do Norte,2026-02,16589
24,Rio Grande do Norte,2026-03,18608
24,Rio Grande do Norte,2026-04,18209
24,Rio Grande do Norte,2026-05,18415
24,Rio Grande do Norte,2026-06,18242
25,Paraíba,2025-07,22606
25,Paraíba,2025-08,23003
25,Paraíba,2025-09,22229
25,Paraíba,2025-10,22942
