posicao,codigo,municipio,indice_criticidade,ocupacao_estimada_pct,internacoes_mil_hab,leitos_sus_10k_hab,variacao_trimestral_pct,internacoes_12m,leitos_sus,populacao,perfil_dominante,alerta_capacidade
1,350250,Aparecida,83.3,88.0,155.25,14.79,3.9,5145,49,33141,XIV. Doenças do aparelho geniturinário,Atenção
2,355260,Tabapuã,81.9,88.6,88.62,9.57,43.4,1019,11,11498,XI. Doenças do aparelho digestivo,Atenção
3,354980,São José do Rio Preto,81.7,102.1,190.35,23.03,0.9,95968,1161,504166,IX. Doenças do aparelho circulatório,Crítico
4,352590,Jundiaí,81.4,105.0,95.0,9.57,7.8,43991,443,463039,XI. Doenças do aparelho digestivo,Crítico
5,351630,Francisco Morato,80.9,102.5,81.0,8.75,15.4,13889,150,171476,"XV. Gravidez, parto e puerpério",Crítico
6,352210,Itanhaém,80.5,105.0,101.36,11.56,4.1,12011,137,118495,"XV. Gravidez, parto e puerpério",Crítico
7,352240,Itapeva,79.1,93.9,102.9,11.8,3.9,9507,109,92393,"XV. Gravidez, parto e puerpério",Atenção
8,354890,São Carlos,79.0,101.1,81.18,8.18,4.2,21628,218,266427,IX. Doenças do aparelho circulatório,Crítico
9,355710,Votuporanga,79.0,93.7,115.96,11.93,-7.1,11662,120,100568,XIX. Lesões e envenenamentos por causas externas,Atenção
10,352220,Itapecerica da Serra,79.0,90.7,105.28,11.96,8.6,17161,195,163003,"XV. Gravidez, parto e puerpério",Atenção
11,351050,Caraguatatuba,78.6,82.3,166.25,18.42,4.3,23649,262,142248,XI. Doenças do aparelho digestivo,Adequado
12,353470,Ourinhos,78.5,106.3,98.76,10.38,-6.6,10558,111,106911,IX. Doenças do aparelho circulatório,Crítico
13,352070,Indiaporã,77.4,84.2,93.36,9.73,18.6,384,4,4113,XIV. Doenças do aparelho geniturinário,Adequado
14,351300,Cotia,77.1,103.7,46.61,4.77,15.1,13492,138,289493,"XV. Gravidez, parto e puerpério",Crítico
15,350760,Bragança Paulista,76.8,92.3,100.42,11.09,-3.4,18647,206,185688,"XV. Gravidez, parto e puerpério",Atenção
16,355170,Sertãozinho,76.5,111.7,52.29,4.46,7.6,6911,59,132176,XIX. Lesões e envenenamentos por causas externas,Crítico
17,352270,Itápolis,76.5,77.8,91.26,10.63,32.2,3691,43,40445,X. Doenças do aparelho respiratório,Adequado
18,351110,Catanduva,76.3,101.1,159.28,31.61,-0.1,18998,377,119275,XIX. Lesões e envenenamentos por causas externas,Crítico
19,350600,Bauru,75.9,88.3,112.8,18.48,11.4,44324,726,392947,XIX. Lesões e envenenamentos por causas externas,Atenção
20,352690,Limeira,75.4,107.2,54.43,5.94,4.0,16398,179,301292,"XV. Gravidez, parto e puerpério",Crítico
21,354990,São José dos Campos,75.2,94.1,82.24,10.85,0.1,59794,789,727078,IX. Doenças do aparelho circulatório,Atenção
