codigo,municipio,leitos_existentes,leitos_sus
350010,ADAMANTINA,194,133
350020,ADOLFO,0,0
350030,AGUAI,24,24
350040,AGUAS DA PRATA,0,0
350050,AGUAS DE LINDOIA,42,30
350055,AGUAS DE SANTA BARBARA,0,0
350060,AGUAS DE SAO PEDRO,0,0
350070,AGUDOS,36,28
350075,ALAMBARI,0,0
350080,ALFREDO MARCONDES,0,0
350090,ALTAIR,0,0
350100,ALTINOPOLIS,21,19
350110,ALTO ALEGRE,16,16
350115,ALUMINIO,120,0
350120,ALVARES FLORENCE,0,0
350130,ALVARES MACHADO,28,17
350140,ALVARO DE CARVALHO,0,0
350150,ALVINLANDIA,0,0
350160,AMERICANA,416,149
350170,AMERICO BRASILIENSE,148,148
350180,AMERICO DE CAMPOS,0,0
350190,AMPARO,382,217
350200,ANALANDIA,0,0
350210,ANDRADINA,99,59
350220,ANGATUBA,57,54
350230,ANHEMBI,0,0
350240,ANHUMAS,0,0
350250,APARECIDA,92,49
350260,APARECIDA D'OESTE,13,12
350270,APIAI,51,45
350275,ARACARIGUAMA,0,0
350280,ARACATUBA,413,264
350290,ARACOIABA DA SERRA,103,0
350300,ARAMINA,0,0
350310,ARANDU,6,6
350315,ARAPEI,0,0
350320,ARARAQUARA,463,258
350330,ARARAS,392,180
350335,ARCO-IRIS,0,0
350340,AREALVA,26,15
350350,AREIAS,0,0
350360,AREIOPOLIS,0,0
350370,ARIRANHA,0,0
350380,ARTUR NOGUEIRA,8,8
350390,ARUJA,69,29
350395,ASPASIA,0,0
350400,ASSIS,288,161
350410,ATIBAIA,310,66
350420,AURIFLAMA,44,35
350430,AVAI,0,0
350440,AVANHANDAVA,0,0
350450,AVARE,184,142
350460,BADY BASSITT,0,0
350470,BALBINOS,0,0
350480,BALSAMO,0,0
350490,BANANAL,15,15
350500,BARAO DE ANTONINA,0,0
350510,BARBOSA,0,0
350520,BARIRI,48,42
350530,BARRA BONITA,58,47
350535,BARRA DO CHAPEU,0,0
350540,BARRA DO TURVO,0,0
350550,BARRETOS,486,442
350560,BARRINHA,7,7
350570,BARUERI,735,609
350580,BASTOS,30,22
350590,BATATAIS,147,97
350600,BAURU,1255,726
350610,BEBEDOURO,179,139
350620,BENTO DE ABREU,0,0
350630,BERNARDINO DE CAMPOS,27,27
350635,BERTIOGA,74,74
350640,BILAC,36,35
350650,BIRIGUI,148,77
350660,BIRITIBA MIRIM,13,13
350670,BOA ESPERANCA DO SUL,15,14
350680,BOCAINA,18,18
350690,BOFETE,0,0
350700,BOITUVA,64,44
350710,BOM JESUS DOS PERDOES,11,11
350715,BOM SUCESSO DE ITARARE,0,0
350720,BORA,0,0
350730,BORACEIA,0,0
350740,BORBOREMA,26,16
350745,BOREBI,0,0
350750,BOTUCATU,839,537
