codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao
350010,3500105,Adamantina,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente
350020,3500204,Adolfo,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
350030,3500303,Aguaí,São João da Boa Vista,Campinas,Campinas
350040,3500402,Águas da Prata,São João da Boa Vista,Campinas,Campinas
350050,3500501,Águas de Lindóia,Amparo,Campinas,Campinas
350055,3500550,Águas de Santa Bárbara,Avaré,Sorocaba,Bauru
350060,3500600,Águas de São Pedro,Piracicaba,Campinas,Piracicaba
350070,3500709,Agudos,Bauru,Bauru,Bauru
350075,3500758,Alambari,Itapetininga,Sorocaba,Itapetininga
350080,3500808,Alfredo Marcondes,Presidente Prudente,Presidente Prudente,Presidente Prudente
350090,3500907,Altair,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
350100,3501004,Altinópolis,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
350110,3501103,Alto Alegre,Birigui - Penápolis,Araçatuba,Araçatuba
350115,3501152,Alumínio,Sorocaba,Sorocaba,Macro Metropolitana Paulista
350120,3501202,Álvares Florence,Votuporanga,São José do Rio Preto,São José do Rio Preto
350130,3501301,Álvares Machado,Presidente Prudente,Presidente Prudente,Presidente Prudente
350140,3501400,Álvaro de Carvalho,Marília,Marília,Marília
350150,3501509,Alvinlândia,Marília,Marília,Marília
350160,3501608,Americana,Campinas,Campinas,Campinas
350170,3501707,Américo Brasiliense,Araraquara,Araraquara,Araraquara
350180,3501806,Américo de Campos,Votuporanga,São José do Rio Preto,São José do Rio Preto
350190,3501905,Amparo,Amparo,Campinas,Campinas
350200,3502002,Analândia,Rio Claro,Campinas,Araraquara
350210,3502101,Andradina,Andradina,Araçatuba,Araçatuba
350220,3502200,Angatuba,Itapetininga,Sorocaba,Itapetininga
350230,3502309,Anhembi,Botucatu,Bauru,Bauru
350240,3502408,Anhumas,Presidente Prudente,Presidente Prudente,Presidente Prudente
350250,3502507,Aparecida,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista
350260,3502606,Aparecida d'Oeste,Jales,São José do Rio Preto,São José do Rio Preto
350270,3502705,Apiaí,Itapeva,Sorocaba,Itapetininga
350275,3502754,Araçariguama,Sorocaba,Sorocaba,Macro Metropolitana Paulista
350280,3502804,Araçatuba,Araçatuba,Araçatuba,Araçatuba
350290,3502903,Araçoiaba da Serra,Sorocaba,Sorocaba,Macro Metropolitana Paulista
350300,3503000,Aramina,Ituverava,Ribeirão Preto,Ribeirão Preto
350310,3503109,Arandu,Avaré,Sorocaba,Bauru
350315,3503158,Arapeí,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista
350320,3503208,Araraquara,Araraquara,Araraquara,Araraquara
350330,3503307,Araras,Araras,Campinas,Piracicaba
350335,3503356,Arco-Íris,Tupã,Marília,Marília
350340,3503406,Arealva,Bauru,Bauru,Bauru
350350,3503505,Areias,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista
350360,3503604,Areiópolis,Botucatu,Bauru,Bauru
350370,3503703,Ariranha,Catanduva,São José do Rio Preto,São José do Rio Preto
350380,3503802,Artur Nogueira,Campinas,Campinas,Campinas
350390,3503901,Arujá,São Paulo,São Paulo,Metropolitana de São Paulo
350395,3503950,Aspásia,Jales,São José do Rio Preto,São José do Rio Preto
350400,3504008,Assis,Assis,Marília,Assis
350410,3504107,Atibaia,Bragança Paulista,Campinas,Macro Metropolitana Paulista
350420,3504206,Auriflama,Araçatuba,Araçatuba,São José do Rio Preto
350430,3504305,Avaí,Bauru,Bauru,Bauru
350440,3504404,Avanhandava,Birigui - Penápolis,Araçatuba,Araçatuba
350450,3504503,Avaré,Avaré,Sorocaba,Bauru
350460,3504602,Bady Bassitt,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
350470,3504701,Balbinos,Bauru,Bauru,Bauru
350480,3504800,Bálsamo,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
350490,3504909,Bananal,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista
350500,3505005,Barão de Antonina,Itapeva,Sorocaba,Itapetininga
350510,3505104,Barbosa,Birigui - Penápolis,Araçatuba,Araçatuba
350520,3505203,Bariri,Jaú,Bauru,Bauru
350530,3505302,Barra Bonita,Jaú,Bauru,Bauru
350535,3505351,Barra do Chapéu,Itapeva,Sorocaba,Itapetininga
350540,3505401,Barra do Turvo,Registro,Sorocaba,Litoral Sul Paulista
350550,3505500,Barretos,Barretos,Ribeirão Preto,Ribeirão Preto
350560,3505609,Barrinha,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
350570,3505708,Barueri,São Paulo,São Paulo,Metropolitana de São Paulo
350580,3505807,Bastos,Tupã,Marília,Marília
350590,3505906,Batatais,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
350600,3506003,Bauru,Bauru,Bauru,Bauru
350610,3506102,Bebedouro,Barretos,Ribeirão Preto,Ribeirão Preto
350620,3506201,Bento de Abreu,Araçatuba,Araçatuba,Araçatuba
350630,3506300,Bernardino de Campos,Ourinhos,Marília,Assis
350635,3506359,Bertioga,Santos,São Paulo,Metropolitana de São Paulo
350640,3506409,Bilac,Birigui - Penápolis,Araçatuba,Araçatuba
350650,3506508,Birigui,Birigui - Penápolis,Araçatuba,Araçatuba
350660,3506607,Biritiba Mirim,São Paulo,São Paulo,Metropolitana de São Paulo
350670,3506706,Boa Esperança do Sul,Araraquara,Araraquara,Araraquara
350680,3506805,Bocaina,Jaú,Bauru,Bauru
350690,3506904,Bofete,Botucatu,Bauru,Bauru
350700,3507001,Boituva,Sorocaba,Sorocaba,Itapetininga
350710,3507100,Bom Jesus dos Perdões,Bragança Paulista,Campinas,Macro Metropolitana Paulista
350715,3507159,Bom Sucesso de Itararé,Itapeva,Sorocaba,Itapetininga
350720,3507209,Borá,Assis,Marília,Assis
350730,3507308,Boracéia,Jaú,Bauru,Bauru
350740,3507407,Borborema,Araraquara,Araraquara,Araraquara
350745,3507456,Borebi,Bauru,Bauru,Bauru
350750,3507506,Botucatu,Botucatu,Bauru,Bauru
350760,3507605,Bragança Paulista,Bragança Paulista,Campinas,Macro Metropolitana Paulista
350770,3507704,Braúna,Birigui - Penápolis,Araçatuba,Araçatuba
350775,3507753,Brejo Alegre,Birigui - Penápolis,Araçatuba,Araçatuba
350780,3507803,Brodowski,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
350790,3507902,Brotas,Jaú,Bauru,Piracicaba
350800,3508009,Buri,Itapeva,Sorocaba,Itapetininga
350810,3508108,Buritama,Birigui - Penápolis,Araçatuba,Araçatuba
350820,3508207,Buritizal,Ituverava,Ribeirão Preto,Ribeirão Preto
350830,3508306,Cabrália Paulista,Bauru,Bauru,Bauru
350840,3508405,Cabreúva,Jundiaí,Campinas,Macro Metropolitana Paulista
350850,3508504,Caçapava,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista
350860,3508603,Cachoeira Paulista,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista
350870,3508702,Caconde,São José do Rio Pardo - Mococa,Campinas,Campinas
350880,3508801,Cafelândia,Lins,Bauru,Bauru
350890,3508900,Caiabu,Presidente Prudente,Presidente Prudente,Presidente Prudente
350900,3509007,Caieiras,São Paulo,São Paulo,Metropolitana de São Paulo
350910,3509106,Caiuá,Presidente Epitácio-Presidente Venceslau,Presidente Prudente,Presidente Prudente
350920,3509205,Cajamar,São Paulo,São Paulo,Metropolitana de São Paulo
350925,3509254,Cajati,Registro,Sorocaba,Litoral Sul Paulista
350930,3509304,Cajobi,Barretos,Ribeirão Preto,São José do Rio Preto
350940,3509403,Cajuru,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
350945,3509452,Campina do Monte Alegre,Itapetininga,Sorocaba,Itapetininga
350950,3509502,Campinas,Campinas,Campinas,Campinas
350960,3509601,Campo Limpo Paulista,Jundiaí,Campinas,Macro Metropolitana Paulista
350970,3509700,Campos do Jordão,Taubaté - Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista
350980,3509809,Campos Novos Paulista,Marília,Marília,Assis
350990,3509908,Cananéia,Registro,Sorocaba,Litoral Sul Paulista
350995,3509957,Canas,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista
351000,3510005,Cândido Mota,Assis,Marília,Assis
351010,3510104,Cândido Rodrigues,Araraquara,Araraquara,Ribeirão Preto
351015,3510153,Canitar,Ourinhos,Marília,Assis
351020,3510203,Capão Bonito,Itapeva,Sorocaba,Itapetininga
351030,3510302,Capela do Alto,Sorocaba,Sorocaba,Macro Metropolitana Paulista
351040,3510401,Capivari,Piracicaba,Campinas,Piracicaba
351050,3510500,Caraguatatuba,Caraguatatuba - Ubatuba - São Sebastião,São José dos Campos,Vale do Paraíba Paulista
351060,3510609,Carapicuíba,São Paulo,São Paulo,Metropolitana de São Paulo
351070,3510708,Cardoso,Votuporanga,São José do Rio Preto,São José do Rio Preto
351080,3510807,Casa Branca,São João da Boa Vista,Campinas,Campinas
351090,3510906,Cássia dos Coqueiros,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
351100,3511003,Castilho,Andradina,Araçatuba,Araçatuba
351110,3511102,Catanduva,Catanduva,São José do Rio Preto,São José do Rio Preto
351120,3511201,Catiguá,Catanduva,São José do Rio Preto,São José do Rio Preto
351130,3511300,Cedral,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
351140,3511409,Cerqueira César,Avaré,Sorocaba,Bauru
351150,3511508,Cerquilho,Sorocaba,Sorocaba,Itapetininga
