codigo,codigo_ibge,municipio,populacao,ano
350010,3500105,Adamantina - SP,35673,2025
350020,3500204,Adolfo - SP,4505,2025
350030,3500303,Aguaí - SP,32886,2025
350040,3500402,Águas da Prata - SP,7463,2025
350050,3500501,Águas de Lindóia - SP,18257,2025
350055,3500550,Águas de Santa Bárbara - SP,7460,2025
350060,3500600,Águas de São Pedro - SP,2928,2025
350070,3500709,Agudos - SP,38988,2025
350075,3500758,Alambari - SP,6373,2025
350080,3500808,Alfredo Marcondes - SP,4574,2025
350090,3500907,Altair - SP,3467,2025
350100,3501004,Altinópolis - SP,17197,2025
350110,3501103,Alto Alegre - SP,3874,2025
350115,3501152,Alumínio - SP,17607,2025
350120,3501202,Álvares Florence - SP,3979,2025
350130,3501301,Álvares Machado - SP,28386,2025
350140,3501400,Álvaro de Carvalho - SP,4901,2025
350150,3501509,Alvinlândia - SP,2919,2025
350160,3501608,Americana - SP,247571,2025
350170,3501707,Américo Brasiliense - SP,33708,2025
350180,3501806,Américo de Campos - SP,5981,2025
350190,3501905,Amparo - SP,69792,2025
350200,3502002,Analândia - SP,4694,2025
350210,3502101,Andradina - SP,61625,2025
350220,3502200,Angatuba - SP,24573,2025
350230,3502309,Anhembi - SP,5766,2025
350240,3502408,Anhumas - SP,4118,2025
350250,3502507,Aparecida - SP,33141,2025
350260,3502606,Aparecida d'Oeste - SP,4112,2025
350270,3502705,Apiaí - SP,24857,2025
350275,3502754,Araçariguama - SP,22314,2025
350280,3502804,Araçatuba - SP,208415,2025
350290,3502903,Araçoiaba da Serra - SP,33832,2025
350300,3503000,Aramina - SP,5535,2025
350310,3503109,Arandu - SP,7076,2025
350315,3503158,Arapeí - SP,2355,2025
350320,3503208,Araraquara - SP,253474,2025
350330,3503307,Araras - SP,135744,2025
350335,3503356,Arco-Íris - SP,2089,2025
350340,3503406,Arealva - SP,8290,2025
350350,3503505,Areias - SP,3617,2025
350360,3503604,Areiópolis - SP,10242,2025
350370,3503703,Ariranha - SP,7621,2025
350380,3503802,Artur Nogueira - SP,53467,2025
350390,3503901,Arujá - SP,90273,2025
350395,3503950,Aspásia - SP,1875,2025
350400,3504008,Assis - SP,104858,2025
350410,3504107,Atibaia - SP,167161,2025
350420,3504206,Auriflama - SP,13856,2025
350430,3504305,Avaí - SP,4503,2025
350440,3504404,Avanhandava - SP,11436,2025
350450,3504503,Avaré - SP,96450,2025
350460,3504602,Bady Bassitt - SP,29346,2025
350470,3504701,Balbinos - SP,3969,2025
350480,3504800,Bálsamo - SP,9902,2025
350490,3504909,Bananal - SP,10097,2025
350500,3505005,Barão de Antonina - SP,3632,2025
350510,3505104,Barbosa - SP,5627,2025
350520,3505203,Bariri - SP,32406,2025
350530,3505302,Barra Bonita - SP,35129,2025
350535,3505351,Barra do Chapéu - SP,5254,2025
350540,3505401,Barra do Turvo - SP,6894,2025
350550,3505500,Barretos - SP,126957,2025
350560,3505609,Barrinha - SP,33304,2025
350570,3505708,Barueri - SP,333737,2025
350580,3505807,Bastos - SP,21936,2025
350590,3505906,Batatais - SP,59939,2025
350600,3506003,Bauru - SP,392947,2025
350610,3506102,Bebedouro - SP,78257,2025
350620,3506201,Bento de Abreu - SP,2640,2025
350630,3506300,Bernardino de Campos - SP,11881,2025
350635,3506359,Bertioga - SP,67436,2025
350640,3506409,Bilac - SP,7464,2025
350650,3506508,Birigui - SP,123340,2025
350660,3506607,Biritiba Mirim - SP,30564,2025
350670,3506706,Boa Esperança do Sul - SP,13113,2025
350680,3506805,Bocaina - SP,11480,2025
350690,3506904,Bofete - SP,10710,2025
350700,3507001,Boituva - SP,63850,2025
350710,3507100,Bom Jesus dos Perdões - SP,22579,2025
350715,3507159,Bom Sucesso de Itararé - SP,3609,2025
350720,3507209,Borá - SP,932,2025
350730,3507308,Boracéia - SP,4838,2025
350740,3507407,Borborema - SP,14405,2025
350745,3507456,Borebi - SP,2801,2025
350750,3507506,Botucatu - SP,151053,2025
350760,3507605,Bragança Paulista - SP,185688,2025
350770,3507704,Braúna - SP,5477,2025
350775,3507753,Brejo Alegre - SP,2605,2025
350780,3507803,Brodowski - SP,26314,2025
350790,3507902,Brotas - SP,24501,2025
350800,3508009,Buri - SP,20731,2025
350810,3508108,Buritama - SP,17658,2025
350820,3508207,Buritizal - SP,4458,2025
350830,3508306,Cabrália Paulista - SP,4360,2025
350840,3508405,Cabreúva - SP,48654,2025
350850,3508504,Caçapava - SP,100071,2025
350860,3508603,Cachoeira Paulista - SP,32534,2025
350870,3508702,Caconde - SP,17228,2025
350880,3508801,Cafelândia - SP,16907,2025
350890,3508900,Caiabu - SP,3726,2025
350900,3509007,Caieiras - SP,98549,2025
350910,3509106,Caiuá - SP,5599,2025
350920,3509205,Cajamar - SP,98365,2025
350925,3509254,Cajati - SP,29262,2025
350930,3509304,Cajobi - SP,9210,2025
350940,3509403,Cajuru - SP,24233,2025
350945,3509452,Campina do Monte Alegre - SP,6090,2025
350950,3509502,Campinas - SP,1187974,2025
350960,3509601,Campo Limpo Paulista - SP,79781,2025
350970,3509700,Campos do Jordão - SP,47956,2025
350980,3509809,Campos Novos Paulista - SP,5003,2025
350990,3509908,Cananéia - SP,12491,2025
350995,3509957,Canas - SP,5068,2025
351000,3510005,Cândido Mota - SP,30157,2025
351010,3510104,Cândido Rodrigues - SP,2959,2025
351015,3510153,Canitar - SP,6589,2025
351020,3510203,Capão Bonito - SP,47409,2025
351030,3510302,Capela do Alto - SP,23777,2025
351040,3510401,Capivari - SP,51369,2025
