codigo,municipio,capitulo_cid10,internacoes
350010,ADAMANTINA,Cap 01,390.0
350010,ADAMANTINA,Cap 02,359.0
350010,ADAMANTINA,Cap 03,63.0
350010,ADAMANTINA,Cap 04,87.0
350010,ADAMANTINA,Cap 05,867.0
350010,ADAMANTINA,Cap 06,60.0
350010,ADAMANTINA,Cap 07,1.0
350010,ADAMANTINA,Cap 08,5.0
350010,ADAMANTINA,Cap 09,596.0
350010,ADAMANTINA,Cap 10,364.0
350010,ADAMANTINA,Cap 11,644.0
350010,ADAMANTINA,Cap 12,124.0
350010,ADAMANTINA,Cap 13,114.0
350010,ADAMANTINA,Cap 14,312.0
350010,ADAMANTINA,Cap 15,573.0
350010,ADAMANTINA,Cap 16,47.0
350010,ADAMANTINA,Cap 17,10.0
350010,ADAMANTINA,Cap 18,59.0
350010,ADAMANTINA,Cap 19,547.0
350010,ADAMANTINA,Cap 21,138.0
350030,AGUAI,Cap 01,17.0
350030,AGUAI,Cap 02,1.0
350030,AGUAI,Cap 03,2.0
350030,AGUAI,Cap 04,19.0
350030,AGUAI,Cap 05,2.0
350030,AGUAI,Cap 06,4.0
350030,AGUAI,Cap 08,1.0
350030,AGUAI,Cap 09,59.0
350030,AGUAI,Cap 10,164.0
350030,AGUAI,Cap 11,8.0
350030,AGUAI,Cap 12,19.0
350030,AGUAI,Cap 13,6.0
350030,AGUAI,Cap 14,103.0
350030,AGUAI,Cap 18,1.0
350030,AGUAI,Cap 21,3.0
350050,AGUAS DE LINDOIA,Cap 01,105.0
350050,AGUAS DE LINDOIA,Cap 02,29.0
350050,AGUAS DE LINDOIA,Cap 03,28.0
350050,AGUAS DE LINDOIA,Cap 04,10.0
350050,AGUAS DE LINDOIA,Cap 05,62.0
350050,AGUAS DE LINDOIA,Cap 06,8.0
350050,AGUAS DE LINDOIA,Cap 07,1.0
350050,AGUAS DE LINDOIA,Cap 08,1.0
350050,AGUAS DE LINDOIA,Cap 09,161.0
350050,AGUAS DE LINDOIA,Cap 10,212.0
350050,AGUAS DE LINDOIA,Cap 11,126.0
350050,AGUAS DE LINDOIA,Cap 12,29.0
350050,AGUAS DE LINDOIA,Cap 13,8.0
350050,AGUAS DE LINDOIA,Cap 14,84.0
350050,AGUAS DE LINDOIA,Cap 15,166.0
350050,AGUAS DE LINDOIA,Cap 16,13.0
350050,AGUAS DE LINDOIA,Cap 17,2.0
350050,AGUAS DE LINDOIA,Cap 18,39.0
350050,AGUAS DE LINDOIA,Cap 19,127.0
350050,AGUAS DE LINDOIA,Cap 21,39.0
350070,AGUDOS,Cap 01,16.0
350070,AGUDOS,Cap 02,8.0
350070,AGUDOS,Cap 04,6.0
350070,AGUDOS,Cap 06,28.0
350070,AGUDOS,Cap 07,1.0
350070,AGUDOS,Cap 09,70.0
350070,AGUDOS,Cap 10,72.0
350070,AGUDOS,Cap 11,166.0
350070,AGUDOS,Cap 12,15.0
350070,AGUDOS,Cap 13,24.0
350070,AGUDOS,Cap 14,69.0
350070,AGUDOS,Cap 15,260.0
350070,AGUDOS,Cap 16,15.0
350070,AGUDOS,Cap 18,9.0
350070,AGUDOS,Cap 19,209.0
350070,AGUDOS,Cap 21,138.0
350100,ALTINOPOLIS,Cap 01,26.0
350100,ALTINOPOLIS,Cap 02,15.0
350100,ALTINOPOLIS,Cap 03,14.0
350100,ALTINOPOLIS,Cap 04,51.0
350100,ALTINOPOLIS,Cap 05,109.0
350100,ALTINOPOLIS,Cap 06,22.0
350100,ALTINOPOLIS,Cap 07,183.0
350100,ALTINOPOLIS,Cap 08,13.0
350100,ALTINOPOLIS,Cap 09,236.0
350100,ALTINOPOLIS,Cap 10,164.0
350100,ALTINOPOLIS,Cap 11,175.0
350100,ALTINOPOLIS,Cap 12,32.0
350100,ALTINOPOLIS,Cap 13,28.0
350100,ALTINOPOLIS,Cap 14,136.0
350100,ALTINOPOLIS,Cap 15,125.0
350100,ALTINOPOLIS,Cap 16,9.0
350100,ALTINOPOLIS,Cap 17,3.0
350100,ALTINOPOLIS,Cap 18,32.0
350100,ALTINOPOLIS,Cap 19,508.0
350110,ALTO ALEGRE,Cap 02,1.0
350110,ALTO ALEGRE,Cap 04,5.0
350110,ALTO ALEGRE,Cap 05,4.0
350110,ALTO ALEGRE,Cap 09,3.0
350110,ALTO ALEGRE,Cap 10,19.0
350110,ALTO ALEGRE,Cap 11,2.0
350110,ALTO ALEGRE,Cap 12,2.0
350110,ALTO ALEGRE,Cap 13,2.0
350110,ALTO ALEGRE,Cap 14,4.0
350110,ALTO ALEGRE,Cap 18,3.0
350130,ALVARES MACHADO,Cap 01,38.0
