codigo,municipio,periodo,internacoes
350010,ADAMANTINA,2025/Jul,477.0
350010,ADAMANTINA,2025/Ago,441.0
350010,ADAMANTINA,2025/Set,470.0
350010,ADAMANTINA,2025/Out,485.0
350010,ADAMANTINA,2025/Nov,420.0
350010,ADAMANTINA,2025/Dez,425.0
350010,ADAMANTINA,2026/Jan,454.0
350010,ADAMANTINA,2026/Fev,417.0
350010,ADAMANTINA,2026/Mar,426.0
350010,ADAMANTINA,2026/Abr,435.0
350010,ADAMANTINA,2026/Mai,455.0
350010,ADAMANTINA,2026/Jun,455.0
350030,AGUAI,2025/Jul,36.0
350030,AGUAI,2025/Ago,39.0
350030,AGUAI,2025/Set,43.0
350030,AGUAI,2025/Out,25.0
350030,AGUAI,2025/Nov,25.0
350030,AGUAI,2025/Dez,38.0
350030,AGUAI,2026/Jan,29.0
350030,AGUAI,2026/Fev,37.0
350030,AGUAI,2026/Mar,35.0
350030,AGUAI,2026/Abr,37.0
350030,AGUAI,2026/Mai,32.0
350030,AGUAI,2026/Jun,33.0
350050,AGUAS DE LINDOIA,2025/Jul,113.0
350050,AGUAS DE LINDOIA,2025/Ago,102.0
350050,AGUAS DE LINDOIA,2025/Set,89.0
350050,AGUAS DE LINDOIA,2025/Out,107.0
350050,AGUAS DE LINDOIA,2025/Nov,101.0
350050,AGUAS DE LINDOIA,2025/Dez,111.0
350050,AGUAS DE LINDOIA,2026/Jan,106.0
350050,AGUAS DE LINDOIA,2026/Fev,114.0
350050,AGUAS DE LINDOIA,2026/Mar,96.0
350050,AGUAS DE LINDOIA,2026/Abr,113.0
350050,AGUAS DE LINDOIA,2026/Mai,100.0
350050,AGUAS DE LINDOIA,2026/Jun,98.0
350070,AGUDOS,2025/Jul,100.0
350070,AGUDOS,2025/Ago,101.0
350070,AGUDOS,2025/Set,107.0
350070,AGUDOS,2025/Out,101.0
350070,AGUDOS,2025/Nov,83.0
350070,AGUDOS,2025/Dez,73.0
350070,AGUDOS,2026/Jan,75.0
350070,AGUDOS,2026/Fev,92.0
350070,AGUDOS,2026/Mar,92.0
350070,AGUDOS,2026/Abr,78.0
350070,AGUDOS,2026/Mai,108.0
350070,AGUDOS,2026/Jun,96.0
350100,ALTINOPOLIS,2025/Jul,183.0
350100,ALTINOPOLIS,2025/Ago,152.0
350100,ALTINOPOLIS,2025/Set,166.0
350100,ALTINOPOLIS,2025/Out,195.0
350100,ALTINOPOLIS,2025/Nov,144.0
350100,ALTINOPOLIS,2025/Dez,141.0
350100,ALTINOPOLIS,2026/Jan,147.0
350100,ALTINOPOLIS,2026/Fev,157.0
350100,ALTINOPOLIS,2026/Mar,146.0
350100,ALTINOPOLIS,2026/Abr,154.0
350100,ALTINOPOLIS,2026/Mai,149.0
350100,ALTINOPOLIS,2026/Jun,147.0
350110,ALTO ALEGRE,2025/Jul,3.0
350110,ALTO ALEGRE,2025/Set,7.0
350110,ALTO ALEGRE,2025/Out,5.0
350110,ALTO ALEGRE,2025/Nov,1.0
350110,ALTO ALEGRE,2026/Jan,5.0
350110,ALTO ALEGRE,2026/Fev,2.0
350110,ALTO ALEGRE,2026/Mar,5.0
350110,ALTO ALEGRE,2026/Abr,6.0
350110,ALTO ALEGRE,2026/Mai,5.0
350110,ALTO ALEGRE,2026/Jun,6.0
350130,ALVARES MACHADO,2025/Jul,58.0
350130,ALVARES MACHADO,2025/Ago,79.0
350130,ALVARES MACHADO,2025/Set,62.0
350130,ALVARES MACHADO,2025/Out,62.0
350130,ALVARES MACHADO,2025/Nov,61.0
350130,ALVARES MACHADO,2025/Dez,69.0
350130,ALVARES MACHADO,2026/Jan,75.0
350130,ALVARES MACHADO,2026/Fev,61.0
350130,ALVARES MACHADO,2026/Mar,54.0
350130,ALVARES MACHADO,2026/Abr,50.0
350130,ALVARES MACHADO,2026/Mai,45.0
350130,ALVARES MACHADO,2026/Jun,56.0
350160,AMERICANA,2025/Jul,959.0
350160,AMERICANA,2025/Ago,923.0
350160,AMERICANA,2025/Set,831.0
350160,AMERICANA,2025/Out,801.0
350160,AMERICANA,2025/Nov,698.0
350160,AMERICANA,2025/Dez,644.0
350160,AMERICANA,2026/Jan,746.0
350160,AMERICANA,2026/Fev,624.0
350160,AMERICANA,2026/Mar,801.0
350160,AMERICANA,2026/Abr,725.0
350160,AMERICANA,2026/Mai,789.0
350160,AMERICANA,2026/Jun,834.0
350170,AMERICO BRASILIENSE,2025/Jul,583.0
350170,AMERICO BRASILIENSE,2025/Ago,511.0
350170,AMERICO BRASILIENSE,2025/Set,539.0
350170,AMERICO BRASILIENSE,2025/Out,679.0
350170,AMERICO BRASILIENSE,2025/Nov,596.0
350170,AMERICO BRASILIENSE,2025/Dez,366.0
350170,AMERICO BRASILIENSE,2026/Jan,570.0
350170,AMERICO BRASILIENSE,2026/Fev,504.0
350170,AMERICO BRASILIENSE,2026/Mar,579.0
350170,AMERICO BRASILIENSE,2026/Abr,653.0
350170,AMERICO BRASILIENSE,2026/Mai,585.0
350170,AMERICO BRASILIENSE,2026/Jun,585.0
350190,AMPARO,2025/Jul,418.0
350190,AMPARO,2025/Ago,416.0
350190,AMPARO,2025/Set,330.0
350190,AMPARO,2025/Out,414.0
350190,AMPARO,2025/Nov,386.0
350190,AMPARO,2025/Dez,370.0
350190,AMPARO,2026/Jan,412.0
350190,AMPARO,2026/Fev,392.0
350190,AMPARO,2026/Mar,370.0
350190,AMPARO,2026/Abr,380.0
350190,AMPARO,2026/Mai,364.0
350190,AMPARO,2026/Jun,351.0
350210,ANDRADINA,2025/Jul,330.0
350210,ANDRADINA,2025/Ago,314.0
350210,ANDRADINA,2025/Set,263.0
350210,ANDRADINA,2025/Out,251.0
350210,ANDRADINA,2025/Nov,278.0
350210,ANDRADINA,2025/Dez,274.0
350210,ANDRADINA,2026/Jan,290.0
350210,ANDRADINA,2026/Fev,255.0
350210,ANDRADINA,2026/Mar,282.0
350210,ANDRADINA,2026/Abr,249.0
350210,ANDRADINA,2026/Mai,282.0
350210,ANDRADINA,2026/Jun,284.0
350220,ANGATUBA,2025/Jul,153.0
350220,ANGATUBA,2025/Ago,163.0
350220,ANGATUBA,2025/Set,172.0
350220,ANGATUBA,2025/Out,137.0
350220,ANGATUBA,2025/Nov,134.0
350220,ANGATUBA,2025/Dez,99.0
350220,ANGATUBA,2026/Jan,165.0
350220,ANGATUBA,2026/Fev,167.0
350220,ANGATUBA,2026/Mar,124.0
350220,ANGATUBA,2026/Abr,151.0
350220,ANGATUBA,2026/Mai,170.0
350220,ANGATUBA,2026/Jun,167.0
350250,APARECIDA,2025/Jul,397.0
350250,APARECIDA,2025/Ago,379.0
350250,APARECIDA,2025/Set,407.0
350250,APARECIDA,2025/Out,436.0
350250,APARECIDA,2025/Nov,594.0
350250,APARECIDA,2025/Dez,517.0
350250,APARECIDA,2026/Jan,408.0
350250,APARECIDA,2026/Fev,366.0
350250,APARECIDA,2026/Mar,412.0
350250,APARECIDA,2026/Abr,439.0
350250,APARECIDA,2026/Mai,395.0
350250,APARECIDA,2026/Jun,395.0
350260,APARECIDA D'OESTE,2025/Jul,6.0
350260,APARECIDA D'OESTE,2025/Ago,8.0
350260,APARECIDA D'OESTE,2025/Set,6.0
350260,APARECIDA D'OESTE,2025/Out,3.0
350260,APARECIDA D'OESTE,2025/Nov,5.0
350260,APARECIDA D'OESTE,2025/Dez,9.0
350260,APARECIDA D'OESTE,2026/Jan,3.0
350260,APARECIDA D'OESTE,2026/Fev,17.0
350260,APARECIDA D'OESTE,2026/Mar,12.0
350260,APARECIDA D'OESTE,2026/Abr,12.0
350260,APARECIDA D'OESTE,2026/Mai,8.0
350270,APIAI,2025/Jul,298.0
350270,APIAI,2025/Ago,267.0
350270,APIAI,2025/Set,282.0
350270,APIAI,2025/Out,292.0
350270,APIAI,2025/Nov,299.0
350270,APIAI,2025/Dez,325.0
350270,APIAI,2026/Jan,279.0
350270,APIAI,2026/Fev,280.0
350270,APIAI,2026/Mar,352.0
350270,APIAI,2026/Abr,333.0
350270,APIAI,2026/Mai,381.0
350270,APIAI,2026/Jun,351.0
350280,ARACATUBA,2025/Jul,1176.0
350280,ARACATUBA,2025/Ago,1198.0
350280,ARACATUBA,2025/Set,1254.0
350280,ARACATUBA,2025/Out,1236.0
350280,ARACATUBA,2025/Nov,982.0
350280,ARACATUBA,2025/Dez,989.0
350280,ARACATUBA,2026/Jan,1302.0
350280,ARACATUBA,2026/Fev,1044.0
350280,ARACATUBA,2026/Mar,1216.0
350280,ARACATUBA,2026/Abr,1174.0
350280,ARACATUBA,2026/Mai,1203.0
350280,ARACATUBA,2026/Jun,1257.0
350310,ARANDU,2025/Jul,8.0
350310,ARANDU,2025/Ago,11.0
350310,ARANDU,2025/Set,12.0
350310,ARANDU,2025/Out,10.0
350310,ARANDU,2025/Nov,9.0
350310,ARANDU,2025/Dez,8.0
350310,ARANDU,2026/Jan,10.0
350310,ARANDU,2026/Fev,4.0
350310,ARANDU,2026/Mar,5.0
350310,ARANDU,2026/Abr,10.0
350310,ARANDU,2026/Mai,6.0
350320,ARARAQUARA,2025/Jul,1745.0
350320,ARARAQUARA,2025/Ago,1779.0
350320,ARARAQUARA,2025/Set,1890.0
350320,ARARAQUARA,2025/Out,1803.0
350320,ARARAQUARA,2025/Nov,1973.0
350320,ARARAQUARA,2025/Dez,1614.0
350320,ARARAQUARA,2026/Jan,1794.0
350320,ARARAQUARA,2026/Fev,1524.0
350320,ARARAQUARA,2026/Mar,1790.0
350320,ARARAQUARA,2026/Abr,1750.0
350320,ARARAQUARA,2026/Mai,1812.0
350320,ARARAQUARA,2026/Jun,1907.0
350330,ARARAS,2025/Jul,602.0
350330,ARARAS,2025/Ago,596.0
350330,ARARAS,2025/Set,607.0
350330,ARARAS,2025/Out,689.0
350330,ARARAS,2025/Nov,647.0
350330,ARARAS,2025/Dez,692.0
350330,ARARAS,2026/Jan,645.0
350330,ARARAS,2026/Fev,561.0
350330,ARARAS,2026/Mar,725.0
350330,ARARAS,2026/Abr,723.0
350330,ARARAS,2026/Mai,806.0
350330,ARARAS,2026/Jun,757.0
350340,AREALVA,2025/Jul,24.0
350340,AREALVA,2025/Ago,23.0
350340,AREALVA,2025/Set,26.0
350340,AREALVA,2025/Out,19.0
350340,AREALVA,2025/Nov,17.0
350340,AREALVA,2025/Dez,17.0
350340,AREALVA,2026/Jan,16.0
350340,AREALVA,2026/Fev,22.0
350340,AREALVA,2026/Mar,34.0
350340,AREALVA,2026/Abr,20.0
350340,AREALVA,2026/Mai,28.0
350340,AREALVA,2026/Jun,14.0
350400,ASSIS,2025/Jul,974.0
350400,ASSIS,2025/Ago,952.0
350400,ASSIS,2025/Set,830.0
350400,ASSIS,2025/Out,994.0
350400,ASSIS,2025/Nov,852.0
350400,ASSIS,2025/Dez,895.0
350400,ASSIS,2026/Jan,843.0
350400,ASSIS,2026/Fev,846.0
350400,ASSIS,2026/Mar,1032.0
350400,ASSIS,2026/Abr,900.0
350400,ASSIS,2026/Mai,940.0
350400,ASSIS,2026/Jun,961.0
350410,ATIBAIA,2025/Jul,415.0
350410,ATIBAIA,2025/Ago,405.0
350410,ATIBAIA,2025/Set,339.0
350410,ATIBAIA,2025/Out,336.0
350410,ATIBAIA,2025/Nov,379.0
350410,ATIBAIA,2025/Dez,360.0
350410,ATIBAIA,2026/Jan,348.0
350410,ATIBAIA,2026/Fev,348.0
350410,ATIBAIA,2026/Mar,366.0
350410,ATIBAIA,2026/Abr,349.0
350410,ATIBAIA,2026/Mai,385.0
350410,ATIBAIA,2026/Jun,357.0
350420,AURIFLAMA,2025/Jul,211.0
350420,AURIFLAMA,2025/Ago,209.0
350420,AURIFLAMA,2025/Set,183.0
350420,AURIFLAMA,2025/Out,211.0
350420,AURIFLAMA,2025/Nov,215.0
350420,AURIFLAMA,2025/Dez,278.0
350420,AURIFLAMA,2026/Jan,205.0
350420,AURIFLAMA,2026/Fev,215.0
350420,AURIFLAMA,2026/Mar,183.0
350420,AURIFLAMA,2026/Abr,262.0
350420,AURIFLAMA,2026/Mai,274.0
350420,AURIFLAMA,2026/Jun,246.0
350450,AVARE,2025/Jul,733.0
350450,AVARE,2025/Ago,695.0
350450,AVARE,2025/Set,648.0
350450,AVARE,2025/Out,579.0
350450,AVARE,2025/Nov,600.0
350450,AVARE,2025/Dez,582.0
350450,AVARE,2026/Jan,647.0
350450,AVARE,2026/Fev,607.0
350450,AVARE,2026/Mar,669.0
350450,AVARE,2026/Abr,669.0
350450,AVARE,2026/Mai,642.0
350450,AVARE,2026/Jun,692.0
350520,BARIRI,2025/Jul,189.0
350520,BARIRI,2025/Ago,202.0
350520,BARIRI,2025/Set,214.0
350520,BARIRI,2025/Out,213.0
350520,BARIRI,2025/Nov,153.0
350520,BARIRI,2025/Dez,173.0
350520,BARIRI,2026/Jan,178.0
350520,BARIRI,2026/Fev,146.0
350520,BARIRI,2026/Mar,170.0
350520,BARIRI,2026/Abr,144.0
350520,BARIRI,2026/Mai,170.0
350520,BARIRI,2026/Jun,145.0
350530,BARRA BONITA,2025/Jul,214.0
350530,BARRA BONITA,2025/Ago,205.0
350530,BARRA BONITA,2025/Set,183.0
350530,BARRA BONITA,2025/Out,184.0
350530,BARRA BONITA,2025/Nov,161.0
350530,BARRA BONITA,2025/Dez,163.0
350530,BARRA BONITA,2026/Jan,104.0
350530,BARRA BONITA,2026/Fev,99.0
350530,BARRA BONITA,2026/Mar,143.0
350530,BARRA BONITA,2026/Abr,137.0
350530,BARRA BONITA,2026/Mai,175.0
350530,BARRA BONITA,2026/Jun,168.0
350550,BARRETOS,2025/Jul,2604.0
350550,BARRETOS,2025/Ago,2892.0
350550,BARRETOS,2025/Set,2877.0
350550,BARRETOS,2025/Out,2633.0
350550,BARRETOS,2025/Nov,2930.0
350550,BARRETOS,2025/Dez,2687.0
350550,BARRETOS,2026/Jan,2746.0
350550,BARRETOS,2026/Fev,2411.0
350550,BARRETOS,2026/Mar,2600.0
350550,BARRETOS,2026/Abr,2830.0
350550,BARRETOS,2026/Mai,2824.0
350550,BARRETOS,2026/Jun,2724.0
350570,BARUERI,2025/Jul,3296.0
350570,BARUERI,2025/Ago,3452.0
350570,BARUERI,2025/Set,3429.0
350570,BARUERI,2025/Out,3659.0
350570,BARUERI,2025/Nov,3215.0
350570,BARUERI,2025/Dez,3008.0
350570,BARUERI,2026/Jan,2912.0
350570,BARUERI,2026/Fev,3216.0
350570,BARUERI,2026/Mar,3681.0
350570,BARUERI,2026/Abr,3613.0
350570,BARUERI,2026/Mai,3772.0
350570,BARUERI,2026/Jun,3844.0
350580,BASTOS,2025/Jul,122.0
350580,BASTOS,2025/Ago,96.0
350580,BASTOS,2025/Set,80.0
350580,BASTOS,2025/Out,83.0
350580,BASTOS,2025/Nov,91.0
350580,BASTOS,2025/Dez,98.0
350580,BASTOS,2026/Jan,95.0
350580,BASTOS,2026/Fev,59.0
350580,BASTOS,2026/Mar,102.0
350580,BASTOS,2026/Abr,99.0
350580,BASTOS,2026/Mai,125.0
350580,BASTOS,2026/Jun,98.0
350590,BATATAIS,2025/Jul,331.0
350590,BATATAIS,2025/Ago,363.0
350590,BATATAIS,2025/Set,308.0
350590,BATATAIS,2025/Out,310.0
350590,BATATAIS,2025/Nov,275.0
350590,BATATAIS,2025/Dez,301.0
350590,BATATAIS,2026/Jan,264.0
350590,BATATAIS,2026/Fev,287.0
350590,BATATAIS,2026/Mar,314.0
350590,BATATAIS,2026/Abr,296.0
350590,BATATAIS,2026/Mai,302.0
350590,BATATAIS,2026/Jun,317.0
350600,BAURU,2025/Jul,3439.0
350600,BAURU,2025/Ago,3547.0
350600,BAURU,2025/Set,3480.0
350600,BAURU,2025/Out,3807.0
350600,BAURU,2025/Nov,3637.0
350600,BAURU,2025/Dez,3731.0
350600,BAURU,2026/Jan,3589.0
350600,BAURU,2026/Fev,3468.0
350600,BAURU,2026/Mar,3972.0
350600,BAURU,2026/Abr,3893.0
350600,BAURU,2026/Mai,3889.0
350600,BAURU,2026/Jun,3872.0
350610,BEBEDOURO,2025/Jul,786.0
350610,BEBEDOURO,2025/Ago,767.0
350610,BEBEDOURO,2025/Set,720.0
350610,BEBEDOURO,2025/Out,786.0
350610,BEBEDOURO,2025/Nov,704.0
350610,BEBEDOURO,2025/Dez,638.0
350610,BEBEDOURO,2026/Jan,657.0
350610,BEBEDOURO,2026/Fev,618.0
350610,BEBEDOURO,2026/Mar,703.0
350610,BEBEDOURO,2026/Abr,720.0
350610,BEBEDOURO,2026/Mai,687.0
350610,BEBEDOURO,2026/Jun,661.0
350630,BERNARDINO DE CAMPOS,2025/Jul,62.0
350630,BERNARDINO DE CAMPOS,2025/Ago,78.0
350630,BERNARDINO DE CAMPOS,2025/Set,65.0
350630,BERNARDINO DE CAMPOS,2025/Out,72.0
350630,BERNARDINO DE CAMPOS,2025/Nov,59.0
350630,BERNARDINO DE CAMPOS,2025/Dez,59.0
350630,BERNARDINO DE CAMPOS,2026/Jan,41.0
350630,BERNARDINO DE CAMPOS,2026/Fev,61.0
350630,BERNARDINO DE CAMPOS,2026/Mar,69.0
350630,BERNARDINO DE CAMPOS,2026/Abr,66.0
350630,BERNARDINO DE CAMPOS,2026/Mai,53.0
350630,BERNARDINO DE CAMPOS,2026/Jun,67.0
350635,BERTIOGA,2025/Jul,284.0
350635,BERTIOGA,2025/Ago,269.0
350635,BERTIOGA,2025/Set,287.0
350635,BERTIOGA,2025/Out,316.0
350635,BERTIOGA,2025/Nov,300.0
350635,BERTIOGA,2025/Dez,250.0
350635,BERTIOGA,2026/Jan,313.0
350635,BERTIOGA,2026/Fev,339.0
350635,BERTIOGA,2026/Mar,375.0
350635,BERTIOGA,2026/Abr,377.0
350635,BERTIOGA,2026/Mai,350.0
350635,BERTIOGA,2026/Jun,311.0
350640,BILAC,2025/Jul,19.0
350640,BILAC,2025/Ago,22.0
350640,BILAC,2025/Set,22.0
350640,BILAC,2025/Out,23.0
350640,BILAC,2025/Nov,15.0
350640,BILAC,2025/Dez,17.0
350640,BILAC,2026/Jan,15.0
350640,BILAC,2026/Fev,19.0
350640,BILAC,2026/Mar,16.0
350640,BILAC,2026/Abr,19.0
350640,BILAC,2026/Mai,15.0
350640,BILAC,2026/Jun,16.0
350650,BIRIGUI,2025/Jul,417.0
350650,BIRIGUI,2025/Ago,417.0
350650,BIRIGUI,2025/Set,416.0
350650,BIRIGUI,2025/Out,416.0
350650,BIRIGUI,2025/Nov,416.0
350650,BIRIGUI,2025/Dez,417.0
350650,BIRIGUI,2026/Jan,339.0
350650,BIRIGUI,2026/Fev,388.0
350650,BIRIGUI,2026/Mar,405.0
350650,BIRIGUI,2026/Abr,422.0
350650,BIRIGUI,2026/Mai,421.0
350650,BIRIGUI,2026/Jun,426.0
350670,BOA ESPERANCA DO SUL,2025/Jul,12.0
350670,BOA ESPERANCA DO SUL,2025/Ago,11.0
350670,BOA ESPERANCA DO SUL,2025/Set,8.0
350670,BOA ESPERANCA DO SUL,2025/Out,8.0
350670,BOA ESPERANCA DO SUL,2025/Nov,17.0
350670,BOA ESPERANCA DO SUL,2025/Dez,16.0
350670,BOA ESPERANCA DO SUL,2026/Jan,9.0
350670,BOA ESPERANCA DO SUL,2026/Fev,7.0
350670,BOA ESPERANCA DO SUL,2026/Mar,13.0
350670,BOA ESPERANCA DO SUL,2026/Abr,6.0
350670,BOA ESPERANCA DO SUL,2026/Mai,9.0
350670,BOA ESPERANCA DO SUL,2026/Jun,16.0
350680,BOCAINA,2025/Jul,15.0
350680,BOCAINA,2025/Ago,12.0
350680,BOCAINA,2025/Set,15.0
350680,BOCAINA,2025/Out,16.0
350680,BOCAINA,2025/Nov,10.0
350680,BOCAINA,2025/Dez,7.0
350680,BOCAINA,2026/Jan,14.0
350680,BOCAINA,2026/Fev,12.0
350680,BOCAINA,2026/Mar,17.0
350680,BOCAINA,2026/Abr,14.0
350680,BOCAINA,2026/Mai,14.0
350680,BOCAINA,2026/Jun,12.0
350700,BOITUVA,2025/Jul,207.0
350700,BOITUVA,2025/Ago,202.0
350700,BOITUVA,2025/Set,191.0
350700,BOITUVA,2025/Out,193.0
350700,BOITUVA,2025/Nov,160.0
350700,BOITUVA,2025/Dez,152.0
350700,BOITUVA,2026/Jan,166.0
350700,BOITUVA,2026/Fev,158.0
350700,BOITUVA,2026/Mar,217.0
350700,BOITUVA,2026/Abr,179.0
350700,BOITUVA,2026/Mai,223.0
350700,BOITUVA,2026/Jun,197.0
350710,BOM JESUS DOS PERDOES,2025/Jul,21.0
350710,BOM JESUS DOS PERDOES,2025/Ago,24.0
350710,BOM JESUS DOS PERDOES,2025/Set,13.0
350710,BOM JESUS DOS PERDOES,2025/Out,14.0
350710,BOM JESUS DOS PERDOES,2025/Nov,16.0
350710,BOM JESUS DOS PERDOES,2025/Dez,18.0
350710,BOM JESUS DOS PERDOES,2026/Jan,22.0
350710,BOM JESUS DOS PERDOES,2026/Fev,10.0
350710,BOM JESUS DOS PERDOES,2026/Mar,20.0
350710,BOM JESUS DOS PERDOES,2026/Abr,19.0
350710,BOM JESUS DOS PERDOES,2026/Mai,19.0
350740,BORBOREMA,2025/Jul,64.0
350740,BORBOREMA,2025/Ago,76.0
350740,BORBOREMA,2025/Set,75.0
350740,BORBOREMA,2025/Out,66.0
350740,BORBOREMA,2025/Nov,83.0
350740,BORBOREMA,2025/Dez,90.0
350740,BORBOREMA,2026/Jan,66.0
350740,BORBOREMA,2026/Fev,69.0
350740,BORBOREMA,2026/Mar,65.0
350740,BORBOREMA,2026/Abr,59.0
350740,BORBOREMA,2026/Mai,71.0
350740,BORBOREMA,2026/Jun,76.0
350750,BOTUCATU,2025/Jul,2518.0
350750,BOTUCATU,2025/Ago,2641.0
350750,BOTUCATU,2025/Set,2532.0
350750,BOTUCATU,2025/Out,2651.0
350750,BOTUCATU,2025/Nov,2629.0
350750,BOTUCATU,2025/Dez,2437.0
350750,BOTUCATU,2026/Jan,2508.0
350750,BOTUCATU,2026/Fev,2530.0
350750,BOTUCATU,2026/Mar,2735.0
350750,BOTUCATU,2026/Abr,2456.0
350750,BOTUCATU,2026/Mai,2520.0
350750,BOTUCATU,2026/Jun,2500.0
