codigo,municipio,periodo,media_permanencia
350010,ADAMANTINA,2025/Jul,8.6
350010,ADAMANTINA,2025/Ago,9.0
350010,ADAMANTINA,2025/Set,8.8
350010,ADAMANTINA,2025/Out,8.5
350010,ADAMANTINA,2025/Nov,9.4
350010,ADAMANTINA,2025/Dez,9.1
350010,ADAMANTINA,2026/Jan,8.4
350010,ADAMANTINA,2026/Fev,8.8
350010,ADAMANTINA,2026/Mar,9.6
350010,ADAMANTINA,2026/Abr,8.6
350010,ADAMANTINA,2026/Mai,8.5
350010,ADAMANTINA,2026/Jun,8.3
350030,AGUAI,2025/Jul,5.1
350030,AGUAI,2025/Ago,7.3
350030,AGUAI,2025/Set,11.2
350030,AGUAI,2025/Out,5.5
350030,AGUAI,2025/Nov,4.7
350030,AGUAI,2025/Dez,7.1
350030,AGUAI,2026/Jan,5.0
350030,AGUAI,2026/Fev,5.3
350030,AGUAI,2026/Mar,5.5
350030,AGUAI,2026/Abr,6.7
350030,AGUAI,2026/Mai,7.4
350030,AGUAI,2026/Jun,5.3
350050,AGUAS DE LINDOIA,2025/Jul,5.6
350050,AGUAS DE LINDOIA,2025/Ago,3.4
350050,AGUAS DE LINDOIA,2025/Set,2.8
350050,AGUAS DE LINDOIA,2025/Out,4.3
350050,AGUAS DE LINDOIA,2025/Nov,4.0
350050,AGUAS DE LINDOIA,2025/Dez,3.9
350050,AGUAS DE LINDOIA,2026/Jan,3.9
350050,AGUAS DE LINDOIA,2026/Fev,3.4
350050,AGUAS DE LINDOIA,2026/Mar,3.8
350050,AGUAS DE LINDOIA,2026/Abr,3.3
350050,AGUAS DE LINDOIA,2026/Mai,4.0
350050,AGUAS DE LINDOIA,2026/Jun,3.4
350070,AGUDOS,2025/Jul,2.0
350070,AGUDOS,2025/Ago,1.6
350070,AGUDOS,2025/Set,2.1
350070,AGUDOS,2025/Out,1.8
350070,AGUDOS,2025/Nov,2.0
350070,AGUDOS,2025/Dez,2.0
350070,AGUDOS,2026/Jan,2.3
350070,AGUDOS,2026/Fev,1.9
350070,AGUDOS,2026/Mar,1.8
350070,AGUDOS,2026/Abr,1.8
350070,AGUDOS,2026/Mai,1.7
350070,AGUDOS,2026/Jun,2.0
350100,ALTINOPOLIS,2025/Jul,1.9
350100,ALTINOPOLIS,2025/Ago,1.7
350100,ALTINOPOLIS,2025/Set,1.8
350100,ALTINOPOLIS,2025/Out,1.8
350100,ALTINOPOLIS,2025/Nov,1.6
350100,ALTINOPOLIS,2025/Dez,2.1
350100,ALTINOPOLIS,2026/Jan,1.7
350100,ALTINOPOLIS,2026/Fev,2.4
350100,ALTINOPOLIS,2026/Mar,2.0
350100,ALTINOPOLIS,2026/Abr,2.2
350100,ALTINOPOLIS,2026/Mai,2.1
350100,ALTINOPOLIS,2026/Jun,1.9
350110,ALTO ALEGRE,2025/Jul,1.7
350110,ALTO ALEGRE,2025/Set,3.7
350110,ALTO ALEGRE,2025/Out,10.0
350110,ALTO ALEGRE,2025/Nov,1.0
350110,ALTO ALEGRE,2026/Jan,3.6
350110,ALTO ALEGRE,2026/Fev,2.5
350110,ALTO ALEGRE,2026/Mar,3.6
350110,ALTO ALEGRE,2026/Abr,4.7
350110,ALTO ALEGRE,2026/Mai,7.8
350110,ALTO ALEGRE,2026/Jun,4.8
350130,ALVARES MACHADO,2025/Jul,4.1
350130,ALVARES MACHADO,2025/Ago,4.0
350130,ALVARES MACHADO,2025/Set,4.1
350130,ALVARES MACHADO,2025/Out,4.5
350130,ALVARES MACHADO,2025/Nov,4.0
350130,ALVARES MACHADO,2025/Dez,3.7
