codigo,municipio,periodo,valor_total
350010,ADAMANTINA,2025/Jul,683486.15
350010,ADAMANTINA,2025/Ago,676199.37
350010,ADAMANTINA,2025/Set,744605.86
350010,ADAMANTINA,2025/Out,716323.39
350010,ADAMANTINA,2025/Nov,661136.78
350010,ADAMANTINA,2025/Dez,658247.5
350010,ADAMANTINA,2026/Jan,652403.41
350010,ADAMANTINA,2026/Fev,644663.56
350010,ADAMANTINA,2026/Mar,673541.93
350010,ADAMANTINA,2026/Abr,675005.61
350010,ADAMANTINA,2026/Mai,659510.05
350010,ADAMANTINA,2026/Jun,658719.83
350030,AGUAI,2025/Jul,20292.67
350030,AGUAI,2025/Ago,24312.76
350030,AGUAI,2025/Set,27141.64
350030,AGUAI,2025/Out,11839.2
350030,AGUAI,2025/Nov,12135.22
350030,AGUAI,2025/Dez,24009.77
350030,AGUAI,2026/Jan,14569.55
350030,AGUAI,2026/Fev,19625.45
350030,AGUAI,2026/Mar,22155.06
350030,AGUAI,2026/Abr,21363.45
350030,AGUAI,2026/Mai,18982.76
350030,AGUAI,2026/Jun,23861.68
350050,AGUAS DE LINDOIA,2025/Jul,54193.95
350050,AGUAS DE LINDOIA,2025/Ago,42202.36
350050,AGUAS DE LINDOIA,2025/Set,40299.75
350050,AGUAS DE LINDOIA,2025/Out,48217.87
350050,AGUAS DE LINDOIA,2025/Nov,58366.62
350050,AGUAS DE LINDOIA,2025/Dez,41101.25
350050,AGUAS DE LINDOIA,2026/Jan,42525.24
350050,AGUAS DE LINDOIA,2026/Fev,42568.46
350050,AGUAS DE LINDOIA,2026/Mar,43282.49
350050,AGUAS DE LINDOIA,2026/Abr,45631.69
350050,AGUAS DE LINDOIA,2026/Mai,42649.13
350050,AGUAS DE LINDOIA,2026/Jun,39305.81
350070,AGUDOS,2025/Jul,48383.99
350070,AGUDOS,2025/Ago,49912.66
350070,AGUDOS,2025/Set,58904.14
350070,AGUDOS,2025/Out,42097.31
350070,AGUDOS,2025/Nov,44561.52
350070,AGUDOS,2025/Dez,34717.98
350070,AGUDOS,2026/Jan,40047.0
350070,AGUDOS,2026/Fev,45607.53
350070,AGUDOS,2026/Mar,46292.4
350070,AGUDOS,2026/Abr,37729.22
350070,AGUDOS,2026/Mai,49556.08
350070,AGUDOS,2026/Jun,47013.76
350100,ALTINOPOLIS,2025/Jul,61082.65
350100,ALTINOPOLIS,2025/Ago,49621.58
350100,ALTINOPOLIS,2025/Set,51359.28
350100,ALTINOPOLIS,2025/Out,62415.09
350100,ALTINOPOLIS,2025/Nov,46804.35
350100,ALTINOPOLIS,2025/Dez,37056.46
350100,ALTINOPOLIS,2026/Jan,46578.37
350100,ALTINOPOLIS,2026/Fev,47003.62
350100,ALTINOPOLIS,2026/Mar,47189.96
350100,ALTINOPOLIS,2026/Abr,49845.86
350100,ALTINOPOLIS,2026/Mai,49564.5
350100,ALTINOPOLIS,2026/Jun,47497.46
350110,ALTO ALEGRE,2025/Jul,1644.03
350110,ALTO ALEGRE,2025/Set,3160.82
350110,ALTO ALEGRE,2025/Out,2464.42
350110,ALTO ALEGRE,2025/Nov,175.97
350110,ALTO ALEGRE,2026/Jan,1036.76
350110,ALTO ALEGRE,2026/Fev,460.61
350110,ALTO ALEGRE,2026/Mar,1500.23
350110,ALTO ALEGRE,2026/Abr,1281.33
350110,ALTO ALEGRE,2026/Mai,815.52
350110,ALTO ALEGRE,2026/Jun,3051.52
350130,ALVARES MACHADO,2025/Jul,20737.7
350130,ALVARES MACHADO,2025/Ago,31323.14
350130,ALVARES MACHADO,2025/Set,22066.06
350130,ALVARES MACHADO,2025/Out,26431.84
350130,ALVARES MACHADO,2025/Nov,22269.38
350130,ALVARES MACHADO,2025/Dez,24086.11
350130,ALVARES MACHADO,2026/Jan,27515.64
350130,ALVARES MACHADO,2026/Fev,21499.34
350130,ALVARES MACHADO,2026/Mar,18811.29
350130,ALVARES MACHADO,2026/Abr,18141.38
350130,ALVARES MACHADO,2026/Mai,17567.31
350130,ALVARES MACHADO,2026/Jun,16853.67
350160,AMERICANA,2025/Jul,1168108.62
350160,AMERICANA,2025/Ago,1206598.7
350160,AMERICANA,2025/Set,1085265.96
350160,AMERICANA,2025/Out,899859.18
350160,AMERICANA,2025/Nov,737579.63
350160,AMERICANA,2025/Dez,954821.34
350160,AMERICANA,2026/Jan,1041774.02
350160,AMERICANA,2026/Fev,815171.45
350160,AMERICANA,2026/Mar,1123588.67
350160,AMERICANA,2026/Abr,922146.05
350160,AMERICANA,2026/Mai,911073.61
350160,AMERICANA,2026/Jun,933104.36
350170,AMERICO BRASILIENSE,2025/Jul,693450.12
350170,AMERICO BRASILIENSE,2025/Ago,630841.74
350170,AMERICO BRASILIENSE,2025/Set,581057.5
350170,AMERICO BRASILIENSE,2025/Out,772722.55
350170,AMERICO BRASILIENSE,2025/Nov,617333.78
350170,AMERICO BRASILIENSE,2025/Dez,418593.56
350170,AMERICO BRASILIENSE,2026/Jan,621294.97
350170,AMERICO BRASILIENSE,2026/Fev,575760.49
350170,AMERICO BRASILIENSE,2026/Mar,671830.53
350170,AMERICO BRASILIENSE,2026/Abr,809334.77
