codigo,municipio,leitos_existentes,leitos_sus
350010,ADAMANTINA,194,133
350020,ADOLFO,0,0
350030,AGUAI,24,24
350040,AGUAS DA PRATA,0,0
350050,AGUAS DE LINDOIA,42,30
350055,AGUAS DE SANTA BARBARA,0,0
350060,AGUAS DE SAO PEDRO,0,0
350070,AGUDOS,36,28
350075,ALAMBARI,0,0
350080,ALFREDO MARCONDES,0,0
350090,ALTAIR,0,0
350100,ALTINOPOLIS,21,19
350110,ALTO ALEGRE,16,16
350115,ALUMINIO,120,0
350120,ALVARES FLORENCE,0,0
350130,ALVARES MACHADO,28,17
350140,ALVARO DE CARVALHO,0,0
350150,ALVINLANDIA,0,0
350160,AMERICANA,416,149
350170,AMERICO BRASILIENSE,148,148
350180,AMERICO DE CAMPOS,0,0
350190,AMPARO,382,217
350200,ANALANDIA,0,0
350210,ANDRADINA,99,59
350220,ANGATUBA,57,54
350230,ANHEMBI,0,0
350240,ANHUMAS,0,0
350250,APARECIDA,92,49
350260,APARECIDA D'OESTE,13,12
350270,APIAI,51,45
350275,ARACARIGUAMA,0,0
350280,ARACATUBA,413,264
350290,ARACOIABA DA SERRA,103,0
350300,ARAMINA,0,0
350310,ARANDU,6,6
350315,ARAPEI,0,0
350320,ARARAQUARA,463,258
350330,ARARAS,392,180
350335,ARCO-IRIS,0,0
350340,AREALVA,26,15
