codigo,codigo_capitulo,capitulo_cid10,internacoes
350010,Cap 01,I. Doenças infecciosas e parasitárias,390
350010,Cap 02,II. Neoplasias (tumores),359
350010,Cap 03,III. Doenças do sangue e transtornos imunitários,63
350010,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",87
350010,Cap 05,V. Transtornos mentais e comportamentais,867
350010,Cap 06,VI. Doenças do sistema nervoso,60
350010,Cap 07,VII. Doenças do olho e anexos,1
350010,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,5
350010,Cap 09,IX. Doenças do aparelho circulatório,596
350010,Cap 10,X. Doenças do aparelho respiratório,364
350010,Cap 11,XI. Doenças do aparelho digestivo,644
350010,Cap 12,XII. Doenças da pele e do tecido subcutâneo,124
350010,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,114
350010,Cap 14,XIV. Doenças do aparelho geniturinário,312
350010,Cap 15,"XV. Gravidez, parto e puerpério",573
350010,Cap 16,XVI. Afecções originadas no período perinatal,47
350010,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,10
350010,Cap 18,XVIII. Sintomas e achados anormais não classificados,59
350010,Cap 19,XIX. Lesões e envenenamentos por causas externas,547
350010,Cap 21,XXI. Contatos com serviços de saúde,138
350030,Cap 01,I. Doenças infecciosas e parasitárias,17
350030,Cap 02,II. Neoplasias (tumores),1
350030,Cap 03,III. Doenças do sangue e transtornos imunitários,2
350030,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",19
350030,Cap 05,V. Transtornos mentais e comportamentais,2
350030,Cap 06,VI. Doenças do sistema nervoso,4
350030,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,1
350030,Cap 09,IX. Doenças do aparelho circulatório,59
350030,Cap 10,X. Doenças do aparelho respiratório,164
350030,Cap 11,XI. Doenças do aparelho digestivo,8
350030,Cap 12,XII. Doenças da pele e do tecido subcutâneo,19
350030,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,6
350030,Cap 14,XIV. Doenças do aparelho geniturinário,103
350030,Cap 18,XVIII. Sintomas e achados anormais não classificados,1
350030,Cap 21,XXI. Contatos com serviços de saúde,3
350050,Cap 01,I. Doenças infecciosas e parasitárias,105
350050,Cap 02,II. Neoplasias (tumores),29
350050,Cap 03,III. Doenças do sangue e transtornos imunitários,28
350050,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",10
350050,Cap 05,V. Transtornos mentais e comportamentais,62
350050,Cap 06,VI. Doenças do sistema nervoso,8
350050,Cap 07,VII. Doenças do olho e anexos,1
350050,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,1
350050,Cap 09,IX. Doenças do aparelho circulatório,161
350050,Cap 10,X. Doenças do aparelho respiratório,212
350050,Cap 11,XI. Doenças do aparelho digestivo,126
350050,Cap 12,XII. Doenças da pele e do tecido subcutâneo,29
350050,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,8
350050,Cap 14,XIV. Doenças do aparelho geniturinário,84
350050,Cap 15,"XV. Gravidez, parto e puerpério",166
350050,Cap 16,XVI. Afecções originadas no período perinatal,13
350050,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,2
350050,Cap 18,XVIII. Sintomas e achados anormais não classificados,39
350050,Cap 19,XIX. Lesões e envenenamentos por causas externas,127
350050,Cap 21,XXI. Contatos com serviços de saúde,39
350070,Cap 01,I. Doenças infecciosas e parasitárias,16
350070,Cap 02,II. Neoplasias (tumores),8
350070,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",6
350070,Cap 06,VI. Doenças do sistema nervoso,28
350070,Cap 07,VII. Doenças do olho e anexos,1
350070,Cap 09,IX. Doenças do aparelho circulatório,70
350070,Cap 10,X. Doenças do aparelho respiratório,72
350070,Cap 11,XI. Doenças do aparelho digestivo,166
350070,Cap 12,XII. Doenças da pele e do tecido subcutâneo,15
350070,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,24
350070,Cap 14,XIV. Doenças do aparelho geniturinário,69
350070,Cap 15,"XV. Gravidez, parto e puerpério",260
350070,Cap 16,XVI. Afecções originadas no período perinatal,15
350070,Cap 18,XVIII. Sintomas e achados anormais não classificados,9
350070,Cap 19,XIX. Lesões e envenenamentos por causas externas,209
350070,Cap 21,XXI. Contatos com serviços de saúde,138
350100,Cap 01,I. Doenças infecciosas e parasitárias,26
350100,Cap 02,II. Neoplasias (tumores),15
350100,Cap 03,III. Doenças do sangue e transtornos imunitários,14
350100,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",51
350100,Cap 05,V. Transtornos mentais e comportamentais,109
350100,Cap 06,VI. Doenças do sistema nervoso,22
350100,Cap 07,VII. Doenças do olho e anexos,183
350100,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,13
350100,Cap 09,IX. Doenças do aparelho circulatório,236
350100,Cap 10,X. Doenças do aparelho respiratório,164
350100,Cap 11,XI. Doenças do aparelho digestivo,175
350100,Cap 12,XII. Doenças da pele e do tecido subcutâneo,32
350100,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,28
350100,Cap 14,XIV. Doenças do aparelho geniturinário,136
350100,Cap 15,"XV. Gravidez, parto e puerpério",125
350100,Cap 16,XVI. Afecções originadas no período perinatal,9
350100,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,3
350100,Cap 18,XVIII. Sintomas e achados anormais não classificados,32
350100,Cap 19,XIX. Lesões e envenenamentos por causas externas,508
350110,Cap 02,II. Neoplasias (tumores),1
350110,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",5
350110,Cap 05,V. Transtornos mentais e comportamentais,4
350110,Cap 09,IX. Doenças do aparelho circulatório,3
350110,Cap 10,X. Doenças do aparelho respiratório,19
350110,Cap 11,XI. Doenças do aparelho digestivo,2
350110,Cap 12,XII. Doenças da pele e do tecido subcutâneo,2
350110,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,2
350110,Cap 14,XIV. Doenças do aparelho geniturinário,4
350110,Cap 18,XVIII. Sintomas e achados anormais não classificados,3
350130,Cap 01,I. Doenças infecciosas e parasitárias,38
350130,Cap 02,II. Neoplasias (tumores),6
350130,Cap 03,III. Doenças do sangue e transtornos imunitários,13
350130,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",38
350130,Cap 05,V. Transtornos mentais e comportamentais,58
350130,Cap 06,VI. Doenças do sistema nervoso,10
350130,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,1
350130,Cap 09,IX. Doenças do aparelho circulatório,104
350130,Cap 10,X. Doenças do aparelho respiratório,108
350130,Cap 11,XI. Doenças do aparelho digestivo,64
350130,Cap 12,XII. Doenças da pele e do tecido subcutâneo,22
350130,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,8
350130,Cap 14,XIV. Doenças do aparelho geniturinário,156
