codigo,uf,periodo,internacoes
11,Rondônia,2025-07,12610
11,Rondônia,2025-08,12371
11,Rondônia,2025-09,12259
11,Rondônia,2025-10,12766
11,Rondônia,2025-11,12159
11,Rondônia,2025-12,11455
11,Rondônia,2026-01,11443
11,Rondônia,2026-02,11312
11,Rondônia,2026-03,13252
11,Rondônia,2026-04,12322
11,Rondônia,2026-05,10613
11,Rondônia,2026-06,8456
12,Acre,2025-07,5104
12,Acre,2025-08,5091
12,Acre,2025-09,5047
12,Acre,2025-10,5560
12,Acre,2025-11,4604
12,Acre,2025-12,4527
12,Acre,2026-01,4774
12,Acre,2026-02,4479
12,Acre,2026-03,5087
12,Acre,2026-04,4951
12,Acre,2026-05,5328
13,Amazonas,2025-07,24613
13,Amazonas,2025-08,24408
13,Amazonas,2025-09,23100
13,Amazonas,2025-10,25112
13,Amazonas,2025-11,21821
13,Amazonas,2025-12,21542
13,Amazonas,2026-01,21748
13,Amazonas,2026-02,20400
13,Amazonas,2026-03,23276
13,Amazonas,2026-04,23388
13,Amazonas,2026-05,22716
13,Amazonas,2026-06,19563
14,Roraima,2025-07,3002
14,Roraima,2025-08,3193
14,Roraima,2025-09,2738
14,Roraima,2025-10,2346
14,Roraima,2025-11,2740
14,Roraima,2025-12,2128
14,Roraima,2026-01,2597
14,Roraima,2026-02,2961
14,Roraima,2026-03,3082
14,Roraima,2026-04,3013
14,Roraima,2026-05,352
15,Pará,2025-07,49639
15,Pará,2025-08,50659
15,Pará,2025-09,49447
15,Pará,2025-10,50058
15,Pará,2025-11,48679
15,Pará,2025-12,48817
15,Pará,2026-01,47344
15,Pará,2026-02,45674
15,Pará,2026-03,50991
15,Pará,2026-04,49732
15,Pará,2026-05,47073
15,Pará,2026-06,40277
16,Amapá,2025-07,5059
16,Amapá,2025-08,4957
