codigo,codigo_ibge,municipio,populacao,ano
350010,3500105,Adamantina - SP,35673,2025
350020,3500204,Adolfo - SP,4505,2025
350030,3500303,Aguaí - SP,32886,2025
350040,3500402,Águas da Prata - SP,7463,2025
350050,3500501,Águas de Lindóia - SP,18257,2025
350055,3500550,Águas de Santa Bárbara - SP,7460,2025
350060,3500600,Águas de São Pedro - SP,2928,2025
350070,3500709,Agudos - SP,38988,2025
350075,3500758,Alambari - SP,6373,2025
350080,3500808,Alfredo Marcondes - SP,4574,2025
350090,3500907,Altair - SP,3467,2025
350100,3501004,Altinópolis - SP,17197,2025
350110,3501103,Alto Alegre - SP,3874,2025
350115,3501152,Alumínio - SP,17607,2025
350120,3501202,Álvares Florence - SP,3979,2025
350130,3501301,Álvares Machado - SP,28386,2025
350140,3501400,Álvaro de Carvalho - SP,4901,2025
350150,3501509,Alvinlândia - SP,2919,2025
350160,3501608,Americana - SP,247571,2025
350170,3501707,Américo Brasiliense - SP,33708,2025
350180,3501806,Américo de Campos - SP,5981,2025
350190,3501905,Amparo - SP,69792,2025
350200,3502002,Analândia - SP,4694,2025
350210,3502101,Andradina - SP,61625,2025
350220,3502200,Angatuba - SP,24573,2025
350230,3502309,Anhembi - SP,5766,2025
350240,3502408,Anhumas - SP,4118,2025
350250,3502507,Aparecida - SP,33141,2025
350260,3502606,Aparecida d'Oeste - SP,4112,2025
350270,3502705,Apiaí - SP,24857,2025
350275,3502754,Araçariguama - SP,22314,2025
350280,3502804,Araçatuba - SP,208415,2025
350290,3502903,Araçoiaba da Serra - SP,33832,2025
350300,3503000,Aramina - SP,5535,2025
350310,3503109,Arandu - SP,7076,2025
350315,3503158,Arapeí - SP,2355,2025
350320,3503208,Araraquara - SP,253474,2025
350330,3503307,Araras - SP,135744,2025
350335,3503356,Arco-Íris - SP,2089,2025
350340,3503406,Arealva - SP,8290,2025
