codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao,populacao,ano,leitos_existentes,leitos_sus,leitos_sus_10k_hab,tem_rede_hospitalar,internacoes_12m,valor_total_12m,media_permanencia,internacoes_ult_trim,internacoes_prim_trim,variacao_trimestral_pct,perfil_dominante,internacoes_mil_hab,giro_leito_ano,ocupacao_estimada_pct,custo_medio_internacao,perfil_permanencia,alerta_capacidade
350010,3500105,Adamantina,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente,35673,2025,194,133,37.28,True,5360,8103843.44,8.8,1345.0,1388.0,-3.1,V. Transtornos mentais e comportamentais,150.25,40.3,97.2,1511.91,Permanência elevada,Atenção
350020,3500204,Adolfo,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,4505,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350030,3500303,Aguaí,São João da Boa Vista,Campinas,Campinas,32886,2025,24,24,7.3,True,409,240289.21,6.34,102.0,118.0,-13.6,X. Doenças do aparelho respiratório,12.44,17.0,29.6,587.5,Agudos,Adequado
350040,3500402,Águas da Prata,São João da Boa Vista,Campinas,Campinas,7463,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350050,3500501,Águas de Lindóia,Amparo,Campinas,Campinas,18257,2025,42,30,16.43,True,1250,540344.62,3.82,311.0,304.0,2.3,X. Doenças do aparelho respiratório,68.47,41.7,43.6,432.28,Agudos,Adequado
350055,3500550,Águas de Santa Bárbara,Avaré,Sorocaba,Bauru,7460,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350060,3500600,Águas de São Pedro,Piracicaba,Campinas,Piracicaba,2928,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350070,3500709,Agudos,Bauru,Bauru,Bauru,38988,2025,36,28,7.18,True,1106,544823.59,1.92,282.0,308.0,-8.4,"XV. Gravidez, parto e puerpério",28.37,39.5,20.8,492.61,Agudos,Adequado
350075,3500758,Alambari,Itapetininga,Sorocaba,Itapetininga,6373,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350080,3500808,Alfredo Marcondes,Presidente Prudente,Presidente Prudente,Presidente Prudente,4574,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
